generation,unique_ids
0,30
1,22
2,20
3,14
4,13
5,10
6,14
7,13
8,11
9,13
10,17
11,15
12,9
13,7
14,10
15,7
16,6
17,7
18,12
19,11
20,10
21,11
22,10
23,11
24,10
25,6
26,4
27,10
28,9
29,11
30,12
31,14
32,10
33,10
34,10
35,8
36,7
37,12
38,8
39,9
40,10
41,9
42,9
43,6
44,8
45,8
46,8
47,9
48,5
49,5
50,7
51,8
52,6
53,9
54,12
55,17
56,13
57,13
58,15
59,11
60,11
61,10
62,17
63,13
64,14
65,9
66,9
67,11
68,11
69,12
70,12
71,12
72,14
73,11
74,8
75,6
76,8
77,11
78,10
79,8
80,8
81,10
82,10
83,13
84,9
85,11
86,11
87,11
88,8
89,11
90,11
91,7
92,12
93,10
94,6
95,5
96,8
97,8
98,9
99,13
100,8
101,11
102,9
103,8
104,8
105,6
106,8
107,8
108,6
109,6
110,5
111,5
112,8
113,9
114,5
115,8
116,8
117,7
118,8
119,8
120,9
121,9
122,9
123,10
124,10
125,12
126,8
127,10
128,7
129,6
130,7
131,7
132,5
133,10
134,9
135,8
136,10
137,7
138,9
139,6
140,5
141,5
142,6
143,4
144,3
145,7
146,11
147,10
148,10
149,9
150,7
151,6
152,10
153,5
154,9
155,6
156,6
157,5
158,5
159,8
160,7
161,5
162,5
163,6
164,8
165,7
166,6
167,8
168,13
169,9
170,4
171,8
172,8
173,8
174,5
175,8
176,6
177,4
178,9
179,5
180,4
181,6
182,6
183,3
184,4
185,8
186,10
187,6
188,3
189,7
190,5
191,8
192,8
193,5
194,6
195,4
196,6
197,5
198,3
199,2
200,5
201,7
202,6
203,5
204,12
205,10
206,6
207,4
208,6
209,5
210,8
211,8
212,8
213,6
214,8
215,6
216,7
217,9
218,3
219,5
220,7
221,5
222,6
223,7
224,6
225,6
226,6
227,5
228,4
229,3
230,4
231,5
232,8
233,6
234,6
235,6
236,3
237,4
238,5
239,6
240,5
241,5
242,4
243,4
244,5
245,6
246,5
247,10
248,9
249,9
250,9
251,6
252,4
253,5
254,7
255,6
256,8
257,6
258,8
259,7
260,6
261,5
262,5
263,7
264,8
265,8
266,6
267,10
268,5
269,8
270,6
271,8
272,3
273,5
274,8
275,7
276,3
277,4
278,5
279,6
280,5
281,3
282,6
283,3
284,3
285,3
286,4
287,6
288,8
289,8
290,9
291,9
292,8
293,6
294,5
295,8
296,4
297,6
298,7
299,4
300,7
301,8
302,9
303,11
304,7
305,10
306,8
307,10
308,8
309,5
310,6
311,7
312,7
313,7
314,10
315,5
316,3
317,4
318,6
319,8
320,11
321,5
322,8
323,8
324,8
325,7
326,11
327,10
328,6
329,3
330,3
331,4
332,7
333,6
334,8
335,7
336,6
337,6
338,7
339,7
340,5
341,4
342,3
343,2
344,4
345,4
346,4
347,7
348,6
349,8
350,5
351,4
352,5
353,5
354,6
355,5
356,6
357,10
358,4
359,1
360,2
361,6
362,9
363,8
364,4
365,5
366,5
367,9
368,8
369,8
370,8
371,9
372,11
373,6
374,7
375,6
376,8
377,5
378,2
379,6
380,5
381,6
382,4
383,7
384,6
385,6
386,6
387,5
388,6
389,6
390,6
391,4
392,4
393,5
394,3
395,3
396,6
397,6
398,6
399,5
400,6
401,9
402,6
403,6
404,8
405,5
406,2
407,6
408,8
409,5
410,5
411,6
412,6
413,8
414,7
415,7
416,5
417,4
418,4
419,8
420,6
421,6
422,5
423,5
424,6
425,4
426,3
427,4
428,5
429,4
430,5
431,6
432,6
433,7
434,5
435,6
436,4
437,4
438,6
439,6
440,5
441,5
442,4
443,4
444,4
445,5
446,5
447,12
448,10
449,7
450,7
451,5
452,4
453,9
454,13
455,12
456,6
457,8
458,6
459,4
460,7
461,8
462,7
463,6
464,2
465,5
466,4
467,5
468,5
469,6
470,6
471,6
472,8
473,5
474,8
475,5
476,5
477,9
478,6
479,5
480,4
481,5
482,7
483,6
484,8
485,6
486,6
487,5
488,8
489,9
490,8
491,10
492,8
493,6
494,7
495,7
496,8
497,4
498,4
499,5
500,6
501,5
502,6
503,4
504,5
505,9
506,3
507,4
508,6
509,10
510,6
511,4
512,3
513,7
514,12
515,9
516,9
517,7
518,9
519,8
520,8
521,8
522,4
523,4
524,3
525,2
526,3
527,6
528,5
529,2
530,3
531,5
532,6
533,7
534,6
535,5
536,9
537,5
538,9
539,10
540,9
541,6
542,5
543,5
544,7
545,8
546,5
547,5
548,6
549,7
550,8
551,4
552,3
553,6
554,5
555,5
556,8
557,6
558,8
559,8
560,6
561,10
562,7
563,6
564,8
565,7
566,8
567,5
568,4
569,6
570,6
571,5
572,5
573,8
574,8
575,8
576,8
577,7
578,8
579,5
580,5
581,6
582,6
583,7
584,7
585,3
586,5
587,6
588,10
589,10
