objective_value,generation,evaluations
25682.740520800056,0,30
25682.740520800056,1,95
11097.801113864301,2,186
10764.369034628624,3,277
10764.369034628624,4,366
10421.747816743955,5,459
10338.40544624248,6,551
10068.74173632848,7,632
9702.391712670646,8,717
9663.8441418967,9,772
9456.749946406528,10,861
8730.3411331905,11,934
8730.3411331905,12,1016
8436.419284467958,13,1093
8242.500250850475,14,1167
8242.500250850475,15,1232
7630.101573197973,16,1323
6849.399630539106,17,1416
6849.399630539106,18,1502
6296.009918947495,19,1598
6285.590587971365,20,1686
6041.3100059876015,21,1739
5737.8100193782675,22,1819
5372.31410139357,23,1910
5372.31410139357,24,1990
5372.31410139357,25,2075
4860.354115532048,26,2158
4752.815908230671,27,2234
4752.815908230671,28,2295
4365.998460754216,29,2380
4365.998460754216,30,2462
4325.049303674699,31,2539
4314.727626368062,32,2620
4314.727626368062,33,2708
4004.481703183162,34,2787
3767.1984504574925,35,2885
3726.387833138258,36,2963
3726.387833138258,37,3047
3379.196103200682,38,3133
3379.196103200682,39,3207
3379.196103200682,40,3294
3376.0839061481634,41,3388
3053.6013602461358,42,3473
3053.6013602461358,43,3525
2543.7701721323224,44,3590
2451.2451919551922,45,3679
2451.2451919551922,46,3768
2047.3237847048533,47,3860
2047.3237847048533,48,3945
1989.0187555822451,49,4023
1911.916210502901,50,4117
1556.9899670970399,51,4199
1556.9899670970399,52,4297
1556.9899670970399,53,4378
1462.9698454529146,54,4477
1462.9698454529146,55,4565
1462.9698454529146,56,4647
1448.470182236599,57,4725
1448.470182236599,58,4808
1448.470182236599,59,4875
1200.503142493351,60,4974
1131.454704754784,61,5058
978.7701128676152,62,5137
978.7701128676152,63,5213
876.0600799515139,64,5295
830.8608220371082,65,5381
830.8608220371082,66,5453
830.8608220371082,67,5538
830.8608220371082,68,5624
830.8608220371082,69,5709
830.8608220371082,70,5792
811.9420181198466,71,5889
811.9420181198466,72,5972
669.2159628751201,73,6052
669.2159628751201,74,6139
669.2159628751201,75,6230
669.2159628751201,76,6326
644.230797043358,77,6408
644.230797043358,78,6498
644.230797043358,79,6587
574.443625070985,80,6698
355.9664265854087,81,6778
355.9664265854087,82,6859
355.9664265854087,83,6942
355.9664265854087,84,7033
355.9664265854087,85,7115
355.9664265854087,86,7195
355.9664265854087,87,7285
355.9664265854087,88,7354
268.1714727638079,89,7439
268.1714727638079,90,7476
268.1714727638079,91,7546
268.1714727638079,92,7637
268.1714727638079,93,7722
268.1714727638079,94,7802
268.1714727638079,95,7897
268.1714727638079,96,8001
268.1714727638079,97,8083
179.24551787780132,98,8170
179.24551787780132,99,8257
179.24551787780132,100,8346
179.24551787780132,101,8420
179.24551787780132,102,8497
154.9002480911447,103,8585
154.9002480911447,104,8670
154.9002480911447,105,8752
154.9002480911447,106,8838
154.9002480911447,107,8917
154.9002480911447,108,9007
112.17851376025217,109,9089
112.17851376025217,110,9169
112.17851376025217,111,9271
112.17851376025217,112,9367
88.00138716661232,113,9450
61.806156102359616,114,9531
61.806156102359616,115,9630
61.806156102359616,116,9705
61.806156102359616,117,9796
61.806156102359616,118,9877
61.806156102359616,119,9947
61.806156102359616,120,10044
58.42570859511082,121,10127
58.42570859511082,122,10204
58.42570859511082,123,10290
58.42570859511082,124,10375
58.42570859511082,125,10462
31.860674510558354,126,10541
31.860674510558354,127,10608
31.860674510558354,128,10695
17.34162854546129,129,10781
17.34162854546129,130,10847
17.34162854546129,131,10929
17.34162854546129,132,11013
17.34162854546129,133,11102
17.34162854546129,134,11189
17.34162854546129,135,11271
17.34162854546129,136,11356
17.34162854546129,137,11444
17.34162854546129,138,11524
17.34162854546129,139,11610
17.34162854546129,140,11681
9.492224033609487,141,11776
9.492224033609487,142,11853
9.492224033609487,143,11941
9.492224033609487,144,12019
9.492224033609487,145,12108
9.492224033609487,146,12205
9.492224033609487,147,12295
9.492224033609487,148,12385
9.492224033609487,149,12461
6.381560373825604,150,12548
6.381560373825604,151,12643
6.381560373825604,152,12726
6.381560373825604,153,12820
6.381560373825604,154,12900
6.381560373825604,155,12985
6.381560373825604,156,13071
6.381560373825604,157,13167
6.381560373825604,158,13247
6.381560373825604,159,13337
6.381560373825604,160,13410
6.381560373825604,161,13503
6.381560373825604,162,13592
6.381560373825604,163,13691
6.381560373825604,164,13764
6.381560373825604,165,13850
6.381560373825604,166,13954
6.381560373825604,167,14042
6.381560373825604,168,14136
6.381560373825604,169,14223
6.381560373825604,170,14305
6.381560373825604,171,14391
6.381560373825604,172,14464
6.381560373825604,173,14545
6.381560373825604,174,14628
6.381560373825604,175,14709
6.381560373825604,176,14789
6.381560373825604,177,14874
6.381560373825604,178,14963
6.381560373825604,179,15058
6.381560373825604,180,15150
6.381560373825604,181,15238
6.381560373825604,182,15329
6.381560373825604,183,15418
6.381560373825604,184,15508
6.381560373825604,185,15598
6.381560373825604,186,15688
6.381560373825604,187,15774
6.381560373825604,188,15856
6.381560373825604,189,15941
6.381560373825604,190,16024
6.381560373825604,191,16112
6.381560373825604,192,16198
6.381560373825604,193,16297
6.381560373825604,194,16384
6.381560373825604,195,16482
6.381560373825604,196,16568
6.381560373825604,197,16654
6.381560373825604,198,16740
6.381560373825604,199,16841
6.381560373825604,200,16936
6.381560373825604,201,17024
6.381560373825604,202,17106
6.381560373825604,203,17187
6.381560373825604,204,17273
6.381560373825604,205,17354
6.381560373825604,206,17445
6.381560373825604,207,17521
6.381560373825604,208,17603
6.381560373825604,209,17685
6.381560373825604,210,17767
6.381560373825604,211,17849
6.381560373825604,212,17924
6.381560373825604,213,18011
0.8310692907226528,214,18101
0.8310692907226528,215,18176
0.8310692907226528,216,18262
0.8310692907226528,217,18339
0.8310692907226528,218,18408
0.8310692907226528,219,18512
0.8310692907226528,220,18596
0.8310692907226528,221,18687
0.8310692907226528,222,18783
0.8310692907226528,223,18864
0.8310692907226528,224,18942
0.8310692907226528,225,19046
0.8310692907226528,226,19129
0.8310692907226528,227,19216
0.8310692907226528,228,19304
0.8310692907226528,229,19392
0.8310692907226528,230,19480
0.8310692907226528,231,19564
0.8310692907226528,232,19651
0.8310692907226528,233,19739
0.8310692907226528,234,19828
0.8310692907226528,235,19916
0.8310692907226528,236,20004
0.8310692907226528,237,20090
0.8310692907226528,238,20163
0.8310692907226528,239,20268
0.8310692907226528,240,20362
0.8310692907226528,241,20454
0.8310692907226528,242,20526
0.8310692907226528,243,20609
0.8310692907226528,244,20704
0.8310692907226528,245,20788
0.8310692907226528,246,20874
0.8310692907226528,247,20953
0.8310692907226528,248,21034
0.8310692907226528,249,21123
0.8310692907226528,250,21207
0.8310692907226528,251,21283
0.8310692907226528,252,21363
0.8310692907226528,253,21446
0.8310692907226528,254,21533
0.8310692907226528,255,21617
0.8310692907226528,256,21695
0.8310692907226528,257,21785
0.8310692907226528,258,21861
0.8310692907226528,259,21951
0.8310692907226528,260,22038
0.8310692907226528,261,22127
0.8310692907226528,262,22221
0.8310692907226528,263,22310
0.8310692907226528,264,22388
0.8310692907226528,265,22483
0.8310692907226528,266,22577
0.8310692907226528,267,22660
0.8310692907226528,268,22758
0.8310692907226528,269,22843
0.8310692907226528,270,22928
0.8310692907226528,271,23009
0.8310692907226528,272,23098
0.8310692907226528,273,23177
0.8310692907226528,274,23262
0.8310692907226528,275,23339
0.8310692907226528,276,23414
0.8310692907226528,277,23484
0.8310692907226528,278,23552
0.8310692907226528,279,23636
0.8310692907226528,280,23713
0.8310692907226528,281,23795
0.8310692907226528,282,23885
0.8310692907226528,283,23971
0.8310692907226528,284,24049
0.8310692907226528,285,24130
0.8310692907226528,286,24201
0.8310692907226528,287,24293
0.8310692907226528,288,24379
0.8310692907226528,289,24477
0.8310692907226528,290,24576
0.8310692907226528,291,24660
0.8310692907226528,292,24743
0.8310692907226528,293,24827
0.8310692907226528,294,24916
0.8310692907226528,295,25006
0.8310692907226528,296,25089
0.8310692907226528,297,25188
0.8310692907226528,298,25266
0.8310692907226528,299,25354
0.8310692907226528,300,25440
0.8310692907226528,301,25541
0.8310692907226528,302,25627
0.8310692907226528,303,25716
0.8310692907226528,304,25797
0.8310692907226528,305,25881
0.8310692907226528,306,25961
0.8310692907226528,307,26044
0.8310692907226528,308,26124
0.8310692907226528,309,26205
0.8310692907226528,310,26284
0.8310692907226528,311,26383
0.8310692907226528,312,26487
0.8310692907226528,313,26580
0.8310692907226528,314,26663
0.8310692907226528,315,26748
0.8310692907226528,316,26841
0.8310692907226528,317,26928
0.8310692907226528,318,27013
0.8310692907226528,319,27094
0.8310692907226528,320,27168
0.8310692907226528,321,27243
0.8310692907226528,322,27327
0.8310692907226528,323,27410
0.8310692907226528,324,27498
0.8310692907226528,325,27578
0.8310692907226528,326,27653
0.8310692907226528,327,27740
0.8310692907226528,328,27819
0.8310692907226528,329,27911
0.8310692907226528,330,27993
0.8310692907226528,331,28078
0.8310692907226528,332,28170
0.8310692907226528,333,28269
0.8310692907226528,334,28346
0.8310692907226528,335,28429
0.8310692907226528,336,28519
0.8310692907226528,337,28595
0.8310692907226528,338,28669
0.8310692907226528,339,28764
0.8310692907226528,340,28861
0.8310692907226528,341,28949
0.8310692907226528,342,29033
0.8310692907226528,343,29118
0.8310692907226528,344,29213
0.8310692907226528,345,29295
0.8310692907226528,346,29390
0.8310692907226528,347,29479
0.8310692907226528,348,29560
0.8310692907226528,349,29653
0.8310692907226528,350,29742
0.8310692907226528,351,29823
0.8310692907226528,352,29910
0.8310692907226528,353,29985
0.8310692907226528,354,30073
0.8310692907226528,355,30154
0.8310692907226528,356,30229
0.8310692907226528,357,30297
0.8310692907226528,358,30381
0.8310692907226528,359,30463
0.8310692907226528,360,30535
0.8310692907226528,361,30616
0.8310692907226528,362,30697
0.8310692907226528,363,30795
0.8310692907226528,364,30878
0.8310692907226528,365,30973
0.8310692907226528,366,31067
0.8310692907226528,367,31147
0.8310692907226528,368,31230
0.8310692907226528,369,31318
0.8310692907226528,370,31391
0.8310692907226528,371,31477
0.8310692907226528,372,31566
0.8310692907226528,373,31650
0.8310692907226528,374,31744
0.8310692907226528,375,31826
0.8310692907226528,376,31912
0.8310692907226528,377,31999
0.8310692907226528,378,32076
0.8310692907226528,379,32151
0.8310692907226528,380,32234
0.8310692907226528,381,32318
0.8310692907226528,382,32403
0.8310692907226528,383,32502
0.8310692907226528,384,32586
0.8310692907226528,385,32666
0.8310692907226528,386,32762
0.8310692907226528,387,32852
0.8310692907226528,388,32933
0.8310692907226528,389,33025
0.8310692907226528,390,33110
0.8310692907226528,391,33186
0.8310692907226528,392,33280
0.8310692907226528,393,33378
0.8310692907226528,394,33467
0.8310692907226528,395,33542
0.8310692907226528,396,33628
0.8310692907226528,397,33705
0.8310692907226528,398,33778
0.8310692907226528,399,33869
0.8310692907226528,400,33959
0.8310692907226528,401,34039
0.8310692907226528,402,34135
0.8310692907226528,403,34219
0.8310692907226528,404,34301
0.8310692907226528,405,34386
0.8310692907226528,406,34466
0.8310692907226528,407,34536
0.8310692907226528,408,34632
0.8310692907226528,409,34713
0.8310692907226528,410,34800
0.8310692907226528,411,34889
0.8310692907226528,412,34966
0.8310692907226528,413,35047
0.8310692907226528,414,35138
0.8310692907226528,415,35228
0.8310692907226528,416,35309
0.8310692907226528,417,35400
0.8310692907226528,418,35481
0.8310692907226528,419,35564
0.8310692907226528,420,35653
0.8310692907226528,421,35740
0.8310692907226528,422,35822
0.8310692907226528,423,35910
0.8310692907226528,424,36002
0.8310692907226528,425,36088
0.8310692907226528,426,36168
0.8310692907226528,427,36247
0.8310692907226528,428,36334
0.8310692907226528,429,36426
0.8310692907226528,430,36505
0.8310692907226528,431,36595
0.8310692907226528,432,36693
0.8310692907226528,433,36777
0.8310692907226528,434,36870
0.8310692907226528,435,36969
0.8310692907226528,436,37041
0.8310692907226528,437,37134
0.8310692907226528,438,37218
0.8310692907226528,439,37307
0.8310692907226528,440,37387
0.8310692907226528,441,37466
0.8310692907226528,442,37555
0.8310692907226528,443,37653
0.8310692907226528,444,37733
0.8310692907226528,445,37813
0.8310692907226528,446,37902
0.8310692907226528,447,37987
0.8310692907226528,448,38077
0.8310692907226528,449,38152
0.8310692907226528,450,38231
0.8310692907226528,451,38319
0.8310692907226528,452,38422
0.8310692907226528,453,38517
