generation,unique_ids
0,30
1,21
2,13
3,8
4,6
5,3
6,8
7,9
8,7
9,5
10,8
11,7
12,9
13,8
14,9
15,10
16,10
17,5
18,6
19,5
20,7
21,8
22,9
23,9
24,11
25,10
26,10
27,9
28,11
29,9
30,6
31,8
32,12
33,11
34,11
35,10
36,12
37,13
38,17
39,14
40,15
41,16
42,15
43,14
44,16
45,15
46,14
47,7
48,10
49,13
50,13
51,11
52,12
53,13
54,17
55,14
56,14
57,12
58,12
59,12
60,14
61,14
62,16
63,14
64,17
65,17
66,17
67,16
68,14
69,14
70,13
71,9
72,9
73,9
74,9
75,11
76,11
77,9
78,12
79,10
80,8
81,7
82,3
83,5
84,7
85,8
86,9
87,11
88,11
89,9
90,10
91,14
92,10
93,6
94,8
95,12
96,10
97,11
98,9
99,9
100,9
101,10
102,10
103,8
104,10
105,14
106,12
107,11
108,12
109,10
110,10
111,9
112,13
113,16
114,14
115,14
116,10
117,14
118,14
119,15
120,13
121,11
122,10
123,11
124,15
125,11
126,12
127,12
128,13
129,7
130,7
131,7
132,9
133,10
134,11
135,12
136,10
137,17
138,11
139,13
140,10
141,12
142,10
143,9
144,14
145,15
146,14
147,16
148,17
149,16
150,20
151,17
152,14
153,14
154,17
155,15
156,17
157,14
158,16
159,18
160,19
161,12
162,11
163,15
164,16
165,16
166,16
167,14
168,15
169,13
170,12
171,11
172,11
173,11
174,8
175,8
176,14
177,16
178,12
179,11
180,14
181,14
182,11
183,14
184,16
185,13
186,14
187,9
188,10
189,10
190,8
191,10
192,11
193,12
194,10
195,14
196,10
197,12
198,14
199,12
200,13
201,13
202,14
203,14
204,12
205,12
206,13
207,17
208,16
209,14
210,11
211,8
212,12
213,9
214,9
215,8
216,15
217,13
218,12
219,13
220,11
221,11
222,16
223,8
224,9
225,11
226,14
227,16
228,14
229,12
230,12
231,12
232,11
233,12
234,12
235,13
236,13
237,14
238,10
239,10
240,11
241,11
242,14
243,11
244,11
245,10
246,10
247,14
248,17
249,14
250,16
251,14
252,18
253,16
254,14
255,14
256,14
257,16
258,11
259,10
260,13
261,12
262,11
263,13
264,9
265,11
266,14
267,11
268,10
269,10
270,13
271,12
272,13
273,14
274,16
275,13
276,13
277,17
278,12
279,12
280,12
281,16
282,12
283,13
284,12
285,12
286,9
287,10
288,12
289,12
290,10
291,12
292,12
293,13
294,10
295,9
296,14
297,10
298,9
299,9
300,10
301,7
302,9
303,9
304,8
305,12
306,10
307,10
308,7
309,7
310,7
311,8
312,6
313,10
314,9
315,14
316,14
317,13
318,11
319,13
320,9
321,12
322,11
323,13
324,12
325,15
326,12
327,12
328,11
329,13
330,10
331,13
332,11
333,13
334,10
335,17
336,13
337,12
338,12
339,14
340,11
341,13
342,11
343,11
344,9
345,10
346,13
347,13
348,12
349,12
350,13
351,12
352,14
353,12
354,12
355,16
356,14
357,10
358,11
359,12
360,12
361,11
362,8
363,9
364,10
365,11
366,11
367,10
368,11
369,17
370,14
371,13
372,15
373,12
374,10
375,11
376,11
377,12
378,14
379,10
380,12
381,12
382,12
383,11
384,12
385,8
386,11
387,9
388,10
389,10
390,9
391,7
392,10
393,9
394,9
395,11
396,13
397,13
398,11
399,10
400,12
401,15
402,13
403,15
404,15
405,15
406,13
407,9
408,10
409,12
410,11
411,13
412,15
413,12
414,15
415,12
416,13
417,16
418,14
419,11
420,10
421,13
422,10
423,12
424,13
425,14
426,14
427,12
428,12
429,11
430,13
431,14
432,10
433,15
434,15
435,13
436,11
437,12
438,8
439,8
440,13
441,13
442,16
443,14
444,13
445,15
446,18
447,13
448,14
449,15
450,19
451,16
452,12
453,13
454,11
455,12
456,15
457,13
458,10
459,13
460,12
461,15
462,12
463,12
464,10
465,13
466,16
467,16
468,11
469,11
470,15
471,12
472,11
473,13
474,10
475,15
476,11
477,14
478,17
479,15
480,15
481,11
482,8
483,11
484,15
485,14
486,15
487,16
488,12
489,11
490,13
491,12
492,10
493,14
494,12
495,14
496,13
497,14
498,13
499,14
500,12
501,11
502,12
503,13
504,12
505,12
506,7
507,13
508,11
509,5
510,7
511,9
512,10
513,8
514,7
515,6
516,6
517,7
518,6
519,8
520,10
521,9
522,11
523,11
524,13
525,17
526,13
527,16
528,11
529,16
530,12
531,15
532,18
533,16
534,15
535,14
536,15
537,16
538,14
539,15
540,17
541,19
542,15
543,15
544,21
545,17
546,16
547,17
548,12
549,11
550,13
551,13
552,10
553,9
554,10
555,9
556,8
557,7
558,7
559,14
560,12
561,18
562,14
563,11
564,10
565,11
566,10
567,16
568,14
569,13
570,14
571,15
572,15
573,12
574,12
575,10
576,9
577,11
578,14
579,12
580,12
581,12
582,9
583,12
584,13
585,15
586,16
587,10
588,12
589,15
590,13
591,12
592,13
593,18
594,14
595,16
596,15
597,17
