objective_value,generation,evaluations
6.620618174570542,0,30
6.620618174570542,1,121
3.7265613650829987,2,202
1.4906782685201385,3,269
0.6680264008827663,4,341
0.4138557200315667,5,385
0.4138557200315667,6,457
0.4094997245396552,7,539
0.4094997245396552,8,619
0.4040730008243987,9,707
0.4003878366468516,10,800
0.4003878366468516,11,885
0.4003878366468516,12,971
0.4003878366468516,13,1056
0.4003878366468516,14,1134
0.4003878366468516,15,1217
0.39922307831462867,16,1298
0.39922307831462867,17,1377
0.39922307831462867,18,1461
0.39922307831462867,19,1554
0.39922307831462867,20,1627
0.39922307831462867,21,1723
0.39922307831462867,22,1814
0.3989098932075965,23,1889
0.3989098932075965,24,1970
0.3991089808411914,25,2055
0.3991089808411914,26,2130
0.3991089808411914,27,2221
0.3983115772474033,28,2303
0.3983115772474033,29,2379
0.3983115772474033,30,2465
0.3983115772474033,31,2546
0.3983115772474033,32,2625
0.3983115772474033,33,2703
0.3983115772474033,34,2799
0.3983115772474033,35,2887
0.3983115772474033,36,2974
0.3983115772474033,37,3057
0.3983115772474033,38,3148
0.3983115772474033,39,3232
0.3983115772474033,40,3311
0.3983115772474033,41,3396
0.3983115772474033,42,3483
0.3981052037615562,43,3586
0.3981052037615562,44,3676
0.3981052037615562,45,3760
0.3981052037615562,46,3848
0.3980197843750233,47,3937
0.3980197843750233,48,4013
0.3980197843750233,49,4091
0.3980197843750233,50,4170
0.3980197843750233,51,4264
0.3980197843750233,52,4346
0.3980197843750233,53,4428
0.3980197843750233,54,4517
0.3980197843750233,55,4603
0.3980197843750233,56,4687
0.3980197843750233,57,4779
0.3980197843750233,58,4874
0.3980197843750233,59,4964
0.3980197843750233,60,5054
0.3980197843750233,61,5132
0.3980197843750233,62,5222
0.3980197843750233,63,5295
0.3980197843750233,64,5376
0.3980197843750233,65,5460
0.3980197843750233,66,5536
0.3980197843750233,67,5610
0.3980197843750233,68,5684
0.3980197843750233,69,5771
0.3980197843750233,70,5863
0.3980197843750233,71,5952
0.3980197843750233,72,6033
0.3980197843750233,73,6120
0.3980197843750233,74,6205
0.3980197843750233,75,6287
0.3980197843750233,76,6376
0.3980197843750233,77,6460
0.3980197843750233,78,6547
0.3980197843750233,79,6635
0.3980197843750233,80,6717
0.3980197843750233,81,6806
0.3980197843750233,82,6892
0.3980197843750233,83,6979
0.3980197843750233,84,7078
0.3980197843750233,85,7165
0.3980197843750233,86,7241
0.3980197843750233,87,7327
0.3980197843750233,88,7418
0.3980197843750233,89,7499
0.3980197843750233,90,7594
0.3980197843750233,91,7666
0.3980197843750233,92,7752
0.3980197843750233,93,7837
0.3980197843750233,94,7913
0.3980197843750233,95,7992
0.3980197843750233,96,8070
0.3980197843750233,97,8158
0.3980197843750233,98,8234
0.3980197843750233,99,8317
0.3980197843750233,100,8391
0.3980197843750233,101,8476
0.3980197843750233,102,8557
0.3980197843750233,103,8645
0.3980197843750233,104,8740
0.3980197843750233,105,8818
0.3980197843750233,106,8901
0.3980197843750233,107,8985
0.3980197843750233,108,9061
0.3980197843750233,109,9149
0.3980197843750233,110,9238
0.3980197843750233,111,9322
0.3980197843750233,112,9395
0.3980197843750233,113,9492
0.3980197843750233,114,9577
0.3980197843750233,115,9662
0.3980197843750233,116,9737
0.3980197843750233,117,9826
0.3980197843750233,118,9903
0.3980197843750233,119,10005
0.3980197843750233,120,10087
0.3980197843750233,121,10172
0.3980197843750233,122,10250
0.3980197843750233,123,10326
0.3980197843750233,124,10408
0.3980197843750233,125,10492
0.3980197843750233,126,10584
0.3980197843750233,127,10667
0.3980197843750233,128,10768
0.3980197843750233,129,10857
0.3980197843750233,130,10946
0.3980197843750233,131,11033
0.3980197843750233,132,11118
0.3980197843750233,133,11204
0.3980197843750233,134,11287
0.3980197843750233,135,11383
0.3980197843750233,136,11455
0.3980197843750233,137,11547
0.3980197843750233,138,11625
0.3980197843750233,139,11712
0.3980197843750233,140,11800
0.3980197843750233,141,11886
0.3980197843750233,142,11961
0.3980197843750233,143,12045
0.3980197843750233,144,12126
0.3980197843750233,145,12219
0.3980197843750233,146,12312
0.3980197843750233,147,12386
0.3980197843750233,148,12477
0.3980197843750233,149,12561
0.3980197843750233,150,12656
0.3980197843750233,151,12749
0.3980197843750233,152,12821
0.3980197843750233,153,12908
0.3980197843750233,154,12998
0.3980197843750233,155,13073
0.3980197843750233,156,13159
0.3980197843750233,157,13241
0.3980197843750233,158,13334
0.3980197843750233,159,13410
0.3980197843750233,160,13502
0.3980197843750233,161,13585
0.3980197843750233,162,13668
0.3980197843750233,163,13749
0.3980197843750233,164,13840
0.3980197843750233,165,13925
0.3980197843750233,166,14022
0.3980197843750233,167,14118
0.3980197843750233,168,14214
0.3980197843750233,169,14291
0.3980197843750233,170,14375
0.3980197843750233,171,14456
0.3980197843750233,172,14542
0.3980197843750233,173,14624
0.3980197843750233,174,14710
0.3980197843750233,175,14797
0.3980197843750233,176,14885
0.3980197843750233,177,14963
0.3980197843750233,178,15051
0.3980197843750233,179,15140
0.3980197843750233,180,15226
