generation,unique_ids
0,30
1,18
2,24
3,18
4,15
5,15
6,14
7,16
8,11
9,7
10,9
11,10
12,10
13,11
14,10
15,7
16,7
17,4
18,8
19,6
20,9
21,5
22,10
23,6
24,5
25,7
26,4
27,8
28,6
29,5
30,8
31,8
32,5
33,5
34,5
35,4
36,5
37,7
38,10
39,10
40,7
41,6
42,4
43,8
44,7
45,6
46,9
47,10
48,8
49,6
50,9
51,10
52,10
53,5
54,7
55,6
56,2
57,6
58,6
59,6
60,5
61,5
62,5
63,4
64,3
65,6
66,7
67,5
68,6
69,7
70,6
71,8
72,6
73,6
74,6
75,6
76,7
77,5
78,4
79,8
80,6
81,3
82,4
83,4
84,7
85,6
86,7
87,6
88,7
89,7
90,10
91,7
92,5
93,9
94,8
95,5
96,6
97,7
98,7
99,8
100,7
101,7
102,8
103,7
104,8
105,2
106,7
107,8
108,7
109,11
110,8
111,5
112,3
113,8
114,8
115,9
116,7
117,5
118,3
119,3
120,6
121,8
122,5
123,5
124,7
125,4
126,7
127,4
128,11
129,13
130,13
131,10
132,11
133,7
134,8
135,9
136,7
137,9
138,7
139,7
140,7
141,9
142,5
143,6
144,12
145,7
146,5
147,6
148,6
149,6
150,4
151,7
152,3
153,5
154,8
155,6
156,6
157,7
158,6
159,6
160,8
161,8
162,8
163,5
164,5
165,4
166,4
167,7
168,7
169,2
170,6
171,4
172,8
173,5
174,7
175,8
176,6
177,5
178,2
179,4
180,3
181,4
182,5
183,4
184,6
185,3
186,3
187,5
188,6
189,7
190,5
191,10
192,10
193,10
194,8
195,11
196,7
197,9
198,8
199,8
200,6
201,4
202,5
203,2
204,3
205,3
206,2
207,4
208,5
209,8
210,8
211,5
212,8
213,3
214,4
215,8
216,11
217,4
218,6
219,5
220,6
221,5
222,6
223,5
224,9
225,8
226,10
227,9
228,7
229,7
230,5
231,4
232,3
233,5
234,6
235,5
236,4
237,8
238,6
239,6
240,6
241,3
242,5
243,4
244,5
245,5
246,6
247,3
248,4
249,5
250,8
251,6
252,8
253,7
254,8
255,5
256,6
257,9
258,11
259,8
260,7
261,5
262,2
263,4
264,5
265,5
266,8
267,7
268,3
269,8
270,8
271,5
272,3
273,8
274,12
275,6
276,7
277,6
278,6
279,5
280,5
281,7
282,8
283,6
284,5
285,4
286,6
287,7
288,7
289,8
290,8
291,9
292,3
293,5
294,4
295,6
296,11
297,10
298,7
299,7
300,11
301,6
302,8
303,6
304,5
305,3
306,4
307,3
308,9
309,7
310,7
311,7
312,6
313,4
314,7
315,5
316,6
317,5
318,5
319,2
320,7
321,7
322,8
323,8
324,8
325,4
326,5
327,6
328,7
329,5
330,7
331,7
332,5
333,7
334,7
335,4
336,7
337,7
338,8
339,4
340,4
341,4
342,5
343,6
344,6
345,6
346,5
347,6
348,4
349,6
350,8
351,5
352,5
353,5
354,6
355,3
356,5
357,5
358,4
359,9
360,8
361,5
362,5
363,9
364,4
365,6
366,2
367,7
368,8
369,7
370,5
371,7
372,5
373,5
374,6
375,7
376,5
377,6
378,4
379,7
380,10
381,7
382,6
383,5
384,5
385,6
386,5
387,5
388,8
389,4
390,3
391,7
392,6
393,3
394,4
395,8
396,7
397,6
398,6
399,10
400,7
401,8
402,7
403,7
404,5
405,5
406,9
407,5
408,5
409,3
410,4
411,5
412,7
413,7
414,5
415,9
416,9
417,6
418,6
419,5
420,3
421,3
422,7
423,5
424,9
425,5
426,8
427,5
428,7
429,4
430,3
431,6
432,6
433,4
434,3
435,4
436,5
437,8
438,8
439,5
440,5
441,6
442,7
443,7
444,11
445,8
446,4
447,4
448,4
449,5
450,5
451,7
452,4
453,4
454,6
455,7
456,6
457,4
458,2
459,4
460,7
461,6
462,4
463,9
464,8
465,10
466,9
467,6
468,5
469,4
470,5
471,6
472,9
473,6
474,7
475,8
476,8
477,5
478,2
479,4
480,2
481,4
482,5
483,4
484,5
485,2
486,9
487,8
488,4
489,3
490,6
491,5
492,5
493,6
494,7
495,4
496,7
497,2
498,4
499,3
500,3
501,5
502,5
503,6
504,10
505,2
506,10
507,11
508,5
509,5
510,5
511,8
512,3
513,6
514,6
515,7
516,7
517,8
518,6
519,5
520,5
521,7
522,6
523,5
524,6
525,8
526,5
527,5
528,2
529,4
530,7
531,7
532,7
533,4
534,7
535,5
536,9
537,9
538,6
539,2
540,7
541,6
542,6
543,6
544,5
545,6
546,9
547,4
548,4
549,5
550,6
551,4
552,4
553,5
554,5
555,6
556,4
557,6
558,8
559,9
560,6
561,7
562,7
563,8
564,9
565,8
566,6
567,3
568,3
569,6
570,4
571,6
572,6
573,9
574,6
575,4
576,3
577,7
578,6
579,9
580,9
581,6
582,9
583,4
584,6
585,6
586,6
587,6
588,8
589,11
590,8
591,8
592,6
593,6
594,8
595,8
