generation,unique_ids
0,30
1,14
2,15
3,15
4,14
5,16
6,17
7,17
8,19
9,18
10,16
11,16
12,14
13,13
14,22
15,19
16,11
17,15
18,14
19,11
20,17
21,14
22,13
23,21
24,18
25,16
26,11
27,11
28,15
29,14
30,14
31,14
32,16
33,15
34,13
35,12
36,15
37,12
38,17
39,14
40,17
41,17
42,17
43,16
44,19
45,11
46,13
47,15
48,11
49,15
50,14
51,15
52,16
53,13
54,12
55,13
56,18
57,15
58,15
59,15
60,15
61,18
62,14
63,17
64,17
65,12
66,14
67,16
68,15
69,10
70,18
71,11
72,11
73,15
74,16
75,20
76,14
77,14
78,14
79,16
80,19
81,10
82,11
83,11
84,11
85,6
86,15
87,14
88,14
89,12
90,12
91,14
92,13
93,10
94,8
95,10
96,9
97,16
98,14
99,9
100,14
101,13
102,12
103,8
104,10
105,12
106,10
107,11
108,10
109,10
110,11
111,10
112,7
113,4
114,2
115,5
116,8
117,12
118,15
119,11
120,12
121,14
122,12
123,13
124,11
125,13
126,13
127,10
128,12
129,9
130,11
131,8
132,7
133,7
134,8
135,6
136,5
137,5
138,3
139,5
140,11
141,8
142,11
143,7
144,8
145,8
146,9
147,10
148,9
149,8
150,6
151,7
152,9
153,8
154,7
155,4
156,8
157,6
158,5
159,5
160,6
161,7
162,9
163,10
164,7
165,6
166,6
167,5
168,5
169,7
170,11
171,6
172,9
173,8
174,5
175,6
176,3
177,3
178,8
179,11
180,10
181,11
182,7
183,9
184,4
185,4
186,5
187,4
188,5
189,4
190,3
191,7
192,6
193,4
194,4
195,6
196,5
197,5
198,5
199,7
200,7
201,5
202,5
203,4
204,10
205,8
206,6
207,5
208,4
209,7
210,6
211,5
212,4
213,3
214,4
215,9
216,4
217,5
218,9
219,4
220,4
221,10
222,9
223,4
224,3
225,5
226,8
227,3
228,5
229,5
230,4
231,7
232,5
233,7
234,3
235,5
236,5
237,6
238,6
239,7
240,4
241,5
242,5
243,5
244,5
245,6
246,9
247,10
248,7
249,10
250,8
251,6
252,12
253,8
254,10
255,7
256,8
257,8
258,4
259,5
260,4
261,4
262,6
263,4
264,4
265,1
266,1
267,2
268,5
269,4
270,5
271,9
272,9
273,9
274,8
275,10
276,8
277,7
278,7
279,7
280,7
281,5
282,6
283,4
284,6
285,4
286,8
287,7
288,5
289,6
290,4
291,10
292,9
293,3
294,6
295,4
296,2
297,2
298,2
299,3
300,5
301,9
302,8
303,6
304,8
305,8
306,6
307,7
308,6
309,5
310,7
311,1
312,4
313,9
314,12
315,6
316,7
317,3
318,4
319,6
320,9
321,3
322,3
323,5
324,8
325,8
326,9
327,9
328,6
329,7
330,5
331,4
332,7
333,7
334,8
335,7
336,9
337,6
338,8
339,3
340,5
341,5
342,6
343,4
344,5
345,5
346,7
347,4
348,4
349,5
350,3
351,8
352,7
353,8
354,10
355,4
356,6
357,9
358,8
359,8
360,4
361,5
362,6
363,8
364,7
365,10
366,9
367,7
368,8
369,7
370,3
371,5
372,2
373,4
374,6
375,7
376,4
377,3
378,5
379,9
380,6
381,4
382,7
383,6
384,10
385,10
386,10
387,9
388,6
389,2
390,4
391,4
392,5
393,3
394,6
395,1
396,1
397,1
398,2
399,5
400,5
401,3
402,6
403,5
404,5
405,10
406,10
407,5
408,6
409,4
410,5
411,5
412,6
413,5
414,4
415,4
416,4
417,3
418,4
419,6
420,9
421,4
422,3
423,6
424,5
425,3
426,5
427,2
428,6
429,10
430,5
431,4
432,1
433,3
434,7
435,5
436,6
437,4
438,3
439,5
440,4
441,5
442,5
443,3
444,4
445,7
446,6
447,8
448,9
449,7
450,7
451,7
452,6
453,9
454,10
455,7
456,8
457,10
458,8
459,7
460,8
461,8
462,5
463,7
464,5
465,4
466,11
467,12
468,7
469,5
470,5
471,6
472,8
473,6
474,10
475,7
476,5
477,11
478,8
479,2
480,6
481,3
482,4
483,5
484,6
485,10
486,9
487,7
488,3
489,3
490,6
491,5
492,4
493,2
494,7
495,3
496,4
497,8
498,9
499,8
500,6
501,6
502,1
503,3
504,5
505,5
506,5
507,4
508,8
509,8
510,3
511,5
512,7
513,9
514,8
515,5
516,4
517,8
518,6
519,9
520,7
521,6
522,3
523,7
524,4
525,4
526,4
527,5
528,3
529,4
530,6
531,3
532,10
533,4
534,3
535,6
536,3
537,6
538,4
539,6
540,9
541,7
542,10
543,8
544,8
545,5
546,4
547,4
548,6
549,6
550,4
551,6
552,6
553,5
554,6
555,6
556,5
557,4
558,4
559,9
560,4
561,5
562,4
563,4
564,7
565,7
566,6
567,3
568,2
569,4
570,4
571,6
572,7
573,3
574,6
575,5
576,5
577,6
578,10
579,8
580,4
581,5
582,7
583,7
584,4
585,5
586,4
587,6
588,5
589,9
590,6
591,4
592,6
593,6
594,5
595,2
596,3
597,7
598,6
599,2
600,3
601,3
602,6
603,4
604,4
605,7
606,3
607,3
608,4
609,11
610,7
611,6
612,8
613,8
614,6
615,7
616,3
617,3
618,4
619,4
620,2
621,4
622,6
623,8
624,6
625,5
626,4
627,5
628,6
629,6
630,10
631,7
632,6
633,5
634,5
635,10
636,9
637,3
638,7
639,6
640,7
641,5
642,4
643,5
644,6
645,9
646,4
647,5
648,6
649,6
650,6
