objective_value,generation,evaluations
37575392.04584133,0,30
33479729.68314089,1,89
12711306.836734137,2,158
10142245.839049937,3,191
8727668.926286144,4,238
7038987.917113954,5,325
1099561.6473523045,6,396
661956.2972736197,7,434
341315.7500922374,8,505
58475.47850341211,9,587
58475.47850341211,10,649
30081.49867603811,11,725
30081.49867603811,12,815
30081.49867603811,13,908
30081.49867603811,14,992
30081.49867603811,15,1072
30081.49867603811,16,1152
30081.49867603811,17,1229
26643.75680942229,18,1319
26643.75680942229,19,1413
26643.75680942229,20,1506
26643.75680942229,21,1582
26643.75680942229,22,1672
26643.75680942229,23,1757
26643.75680942229,24,1839
7426.574136406746,25,1917
7426.574136406746,26,1954
7426.574136406746,27,2039
7426.574136406746,28,2121
7426.574136406746,29,2194
7426.574136406746,30,2244
8926.107356555262,31,2320
8926.107356555262,32,2406
8926.107356555262,33,2482
8926.107356555262,34,2557
8926.107356555262,35,2649
8926.107356555262,36,2731
8926.107356555262,37,2809
8926.107356555262,38,2893
8926.107356555262,39,2978
8926.107356555262,40,3064
8926.107356555262,41,3141
8926.107356555262,42,3221
8926.107356555262,43,3304
8926.107356555262,44,3373
8926.107356555262,45,3461
8926.107356555262,46,3556
8926.107356555262,47,3639
8926.107356555262,48,3723
8926.107356555262,49,3803
8926.107356555262,50,3885
4443.026677950986,51,3965
4443.026677950986,52,4055
4443.026677950986,53,4123
4443.026677950986,54,4205
4443.026677950986,55,4283
4443.026677950986,56,4353
4443.026677950986,57,4445
4443.026677950986,58,4526
4443.026677950986,59,4608
4443.026677950986,60,4691
4443.026677950986,61,4770
4443.026677950986,62,4838
4443.026677950986,63,4927
4443.026677950986,64,5014
4443.026677950986,65,5104
4443.026677950986,66,5180
4443.026677950986,67,5263
4443.026677950986,68,5341
4443.026677950986,69,5419
4443.026677950986,70,5508
4443.026677950986,71,5588
4443.026677950986,72,5663
4443.026677950986,73,5739
4443.026677950986,74,5839
4443.026677950986,75,5930
4443.026677950986,76,6001
4443.026677950986,77,6078
4443.026677950986,78,6154
4443.026677950986,79,6237
4443.026677950986,80,6325
4443.026677950986,81,6408
4443.026677950986,82,6495
4443.026677950986,83,6574
4443.026677950986,84,6659
4443.026677950986,85,6751
3777.265933165785,86,6837
3777.265933165785,87,6911
3777.265933165785,88,6993
3777.265933165785,89,7062
3777.265933165785,90,7150
3777.265933165785,91,7238
3777.265933165785,92,7328
3777.265933165785,93,7414
3777.265933165785,94,7502
3777.265933165785,95,7576
3777.265933165785,96,7671
3777.265933165785,97,7748
3777.265933165785,98,7820
3777.265933165785,99,7912
3777.265933165785,100,8023
3777.265933165785,101,8114
3777.265933165785,102,8191
3777.265933165785,103,8285
3777.265933165785,104,8357
3777.265933165785,105,8447
3777.265933165785,106,8533
3777.265933165785,107,8621
3777.265933165785,108,8707
3777.265933165785,109,8796
3777.265933165785,110,8879
3777.265933165785,111,8952
3777.265933165785,112,9040
3777.265933165785,113,9122
3777.265933165785,114,9203
3777.265933165785,115,9298
3777.265933165785,116,9381
3777.265933165785,117,9455
3777.265933165785,118,9533
3777.265933165785,119,9637
3777.265933165785,120,9717
3777.265933165785,121,9789
3777.265933165785,122,9874
3777.265933165785,123,9958
3777.265933165785,124,10043
3777.265933165785,125,10128
3777.265933165785,126,10205
3777.265933165785,127,10287
3777.265933165785,128,10357
3777.265933165785,129,10437
3777.265933165785,130,10517
3777.265933165785,131,10598
3777.265933165785,132,10676
3777.265933165785,133,10750
3777.265933165785,134,10841
3777.265933165785,135,10929
3777.265933165785,136,10999
3777.265933165785,137,11082
3777.265933165785,138,11156
3777.265933165785,139,11230
3777.265933165785,140,11313
3777.265933165785,141,11395
3777.265933165785,142,11470
3777.265933165785,143,11554
3777.265933165785,144,11638
3777.265933165785,145,11725
3777.265933165785,146,11809
3777.265933165785,147,11899
3777.265933165785,148,11979
3777.265933165785,149,12049
3777.265933165785,150,12148
3777.265933165785,151,12227
3777.265933165785,152,12320
3777.265933165785,153,12393
