objective_value,generation,evaluations
0.0,0,30
-0.0,1,60
-8.976961900658015e-38,2,117
-7.364847553827323e-07,3,160
-7.364847553827323e-07,4,193
-7.364847553827323e-07,5,225
-0.21397394246888107,6,284
-0.21397394246888107,7,319
-0.21397394246888107,8,364
-0.7557204055591239,9,448
-0.7557204055591239,10,483
-0.7557204055591239,11,535
-0.7557204055591239,12,614
-0.7557204055591239,13,691
-0.7557204055591239,14,769
-0.7557204055591239,15,839
-0.8651406835347866,16,918
-0.8651406835347866,17,1008
-0.8651406835347866,18,1077
-0.9759657838733404,19,1172
-0.9759657838733404,20,1250
-0.9759657838733404,21,1338
-0.9759657838733404,22,1428
-0.9759657838733404,23,1494
-0.9759657838733404,24,1570
-0.9759657838733404,25,1648
-0.9759657838733404,26,1706
-0.9759657838733404,27,1776
-0.9759657838733404,28,1847
-0.9759657838733404,29,1942
-0.9759657838733404,30,2037
-0.9759657838733404,31,2114
-0.9759657838733404,32,2207
-0.9759657838733404,33,2280
-0.9759657838733404,34,2357
-0.9759657838733404,35,2438
-0.9759657838733404,36,2516
-0.9759657838733404,37,2602
-0.9759657838733404,38,2677
-0.9759657838733404,39,2748
-0.9759657838733404,40,2831
-0.9759657838733404,41,2907
-0.9759657838733404,42,2974
-0.9759657838733404,43,3058
-0.9759657838733404,44,3142
-0.9759657838733404,45,3224
-0.9759657838733404,46,3308
-0.9759657838733404,47,3373
-0.9759657838733404,48,3451
-0.9759657838733404,49,3531
-0.9880657132808967,50,3606
-0.9880657132808967,51,3693
-0.9880657132808967,52,3777
-0.9880657132808967,53,3862
-0.9880657132808967,54,3954
-0.9880657132808967,55,4031
-0.9880657132808967,56,4107
-0.9880657132808967,57,4204
-0.9880657132808967,58,4280
-0.9880657132808967,59,4364
-0.9880657132808967,60,4424
-0.9880657132808967,61,4474
-0.9880657132808967,62,4533
-0.9880657132808967,63,4631
-0.9880657132808967,64,4705
-0.9880657132808967,65,4784
-0.9880657132808967,66,4857
-0.9880657132808967,67,4929
-0.9880657132808967,68,5005
-0.9880657132808967,69,5095
-0.9880657132808967,70,5185
-0.9880657132808967,71,5261
-0.9880657132808967,72,5340
-0.9880657132808967,73,5417
-0.9880657132808967,74,5477
-0.9880657132808967,75,5574
