generation,unique_ids
0,30
1,22
2,20
3,15
4,3
5,1
6,1
7,2
8,1
9,3
10,6
11,9
12,8
13,8
14,8
15,10
16,10
17,13
18,9
19,5
20,8
21,9
22,7
23,7
24,5
25,8
26,8
27,6
28,7
29,4
30,8
31,4
32,3
33,6
34,6
35,8
36,9
37,11
38,10
39,8
40,6
41,8
42,8
43,9
44,10
45,7
46,5
47,4
48,6
49,5
50,5
51,5
52,7
53,8
54,9
55,13
56,11
57,7
58,6
59,3
60,4
61,7
62,12
63,8
64,5
65,6
66,3
67,4
68,2
69,3
70,5
71,7
72,4
73,5
74,7
75,7
76,4
77,8
78,12
79,7
80,5
81,5
82,4
83,3
84,7
85,3
86,7
87,6
88,6
89,2
90,7
91,10
92,9
93,7
94,6
95,7
96,7
97,6
98,7
99,6
100,10
101,7
102,9
103,9
104,7
105,8
106,10
107,4
108,4
109,3
110,5
111,5
112,9
113,6
114,8
115,2
116,4
117,5
118,3
119,6
120,6
121,5
122,8
123,8
124,9
125,5
126,7
127,6
128,5
129,10
130,4
131,6
132,6
133,5
134,7
135,7
136,6
137,4
138,2
139,4
140,6
141,3
142,7
143,8
144,8
145,5
146,7
147,4
148,3
149,3
150,4
151,4
152,5
153,7
154,7
155,6
156,5
157,4
158,4
159,4
160,5
161,4
162,3
163,4
164,6
165,7
166,2
167,7
168,13
169,7
170,5
171,4
172,6
173,6
174,5
175,5
176,5
177,6
178,5
179,7
180,9
181,5
182,4
183,2
184,2
185,4
186,7
187,6
188,4
189,5
190,6
191,4
192,7
193,8
194,7
195,6
196,3
197,5
198,3
199,5
200,5
201,6
202,2
203,5
204,7
205,10
206,4
207,4
208,8
209,7
210,6
211,8
212,4
213,3
214,8
215,5
216,6
217,8
218,4
219,6
220,4
221,8
222,10
223,9
224,12
225,7
226,4
227,7
228,6
229,8
230,6
231,5
232,8
233,3
234,3
235,5
236,6
237,9
238,6
239,8
240,4
241,7
242,3
243,5
244,6
245,2
246,2
247,6
248,8
249,9
250,7
251,4
252,6
253,6
254,7
255,7
256,4
257,6
258,7
259,4
260,2
261,4
262,3
263,6
264,4
265,4
266,3
267,2
268,3
269,7
270,6
271,7
272,5
273,6
274,10
275,6
276,7
277,6
278,6
279,8
280,5
281,6
282,6
283,4
284,5
285,10
286,6
287,3
288,6
289,3
290,3
291,7
292,7
293,6
294,6
295,7
296,6
297,3
298,9
299,4
300,5
301,4
302,4
303,6
304,5
305,6
306,4
307,4
308,7
309,4
310,3
311,4
312,5
313,5
314,5
315,2
316,4
317,5
318,4
319,8
320,5
321,6
322,6
323,7
324,6
325,4
326,6
327,6
328,8
329,8
330,6
331,7
332,8
333,7
334,5
335,5
336,5
337,2
338,4
339,5
340,7
341,5
342,8
343,6
344,7
345,10
346,8
347,6
348,6
349,6
350,6
351,5
352,5
353,4
354,5
355,9
356,5
357,6
358,5
359,3
360,4
361,5
362,6
363,4
364,5
365,4
366,5
367,4
368,4
369,3
370,3
371,5
372,3
373,2
374,6
375,10
376,4
377,4
378,5
379,3
380,4
381,3
382,4
383,6
384,6
385,5
386,4
387,7
388,7
389,5
390,4
391,6
392,6
393,2
394,3
395,1
396,2
397,6
398,5
399,4
400,9
401,5
402,7
403,7
404,6
405,5
406,1
407,1
408,1
409,3
410,3
411,7
412,6
413,6
414,5
415,2
416,3
417,3
418,4
419,5
420,6
421,6
422,6
423,9
424,5
425,7
426,4
427,5
428,7
429,2
430,6
431,4
432,7
433,2
434,5
435,6
436,5
437,3
438,4
439,3
440,4
441,6
442,4
443,4
444,5
445,5
446,6
447,5
448,7
449,4
450,8
451,8
452,7
453,8
454,9
455,8
456,8
457,6
458,6
459,7
460,7
461,4
462,4
463,7
464,6
465,3
466,8
467,7
468,6
469,5
470,6
471,5
472,2
473,4
474,7
475,4
476,5
477,6
478,7
479,7
480,6
481,7
482,4
483,4
484,2
485,3
486,5
487,7
488,7
489,7
490,4
491,5
492,9
493,6
494,4
495,8
496,4
497,7
498,9
499,9
500,6
501,6
502,1
503,3
504,3
505,7
506,6
507,3
508,7
509,7
510,7
511,4
512,5
513,7
514,9
515,8
516,5
517,8
518,7
519,5
520,6
521,7
522,6
523,2
524,4
525,4
526,1
527,3
528,6
529,5
530,5
531,5
532,8
533,5
534,6
535,7
536,7
537,6
538,7
539,7
540,7
541,3
542,6
543,4
544,5
545,6
546,7
547,8
548,6
549,3
550,5
551,6
552,7
553,5
554,7
555,6
556,5
557,4
558,5
559,7
560,4
561,5
562,4
563,3
564,4
565,6
566,6
567,8
568,5
569,3
570,5
571,4
572,6
573,6
574,8
575,5
576,5
577,5
578,6
579,4
580,6
581,3
582,3
583,5
584,4
585,6
586,6
587,3
588,4
589,8
590,6
591,3
592,6
593,4
594,6
595,3
596,4
597,6
598,10
599,4
600,5
601,6
602,6
603,4
604,4
605,2
606,5
607,6
608,8
609,12
610,10
611,8
612,4
613,7
614,11
615,9
616,4
617,4
618,11
619,5
620,5
621,4
622,3
623,6
624,7
625,7
626,6
627,5
628,9
629,6
630,4
631,5
