objective_value,generation,evaluations
228668093.6963262,0,30
226108875.68382046,1,104
217815610.36108226,2,174
191661566.79417297,3,250
186387998.49589428,4,291
169197190.4959349,5,377
161425248.0923783,6,420
156362090.72727254,7,487
152462206.4860787,8,563
149226747.29522339,9,618
125563508.09657937,10,689
124443261.18617718,11,722
123062946.5725353,12,806
111213065.40327124,13,882
107381832.33967151,14,914
106432128.46233816,15,988
101411822.48142242,16,1063
96153735.19606583,17,1123
93804229.4908683,18,1186
89032333.78188652,19,1255
82103472.37897737,20,1314
81393896.95573862,21,1364
77726556.5248644,22,1431
74596756.35906287,23,1491
73340622.80284888,24,1528
71737349.5805547,25,1577
69663545.78082821,26,1673
66533863.60484119,27,1732
64617874.763982125,28,1786
57981762.25822401,29,1856
56185238.68933276,30,1895
55376958.89837471,31,1970
53395437.77753342,32,2051
51420239.243855916,33,2099
49707593.57360749,34,2154
47639710.72060287,35,2214
45828722.386838704,36,2275
45625779.374195136,37,2350
44452606.671656705,38,2413
43455119.929370105,39,2474
42145237.8506896,40,2529
41466412.35987603,41,2605
41217236.31230881,42,2678
39314358.86087744,43,2761
39297021.04045169,44,2815
38220741.99403624,45,2896
38071686.230529964,46,2975
36599135.76838638,47,3050
35738579.656127155,48,3098
35910387.510327436,49,3152
35910387.510327436,50,3226
34752219.10414014,51,3302
33351468.684985172,52,3375
32009348.38316689,53,3425
31563171.835278336,54,3477
31107172.303342186,55,3545
31563171.835278336,56,3619
29797136.815785173,57,3701
28938953.40497184,58,3742
28813543.03951764,59,3825
26786423.62118538,60,3894
25962304.30432118,61,3973
25102353.098411094,62,4064
25102353.098411094,63,4109
24308454.344524346,64,4196
23900430.971014213,65,4277
22981156.86062529,66,4382
22211893.88314172,67,4433
21571623.221161846,68,4519
21550877.195951562,69,4579
20985251.76962834,70,4666
20955508.98525422,71,4723
20828965.504707497,72,4806
20356544.781116202,73,4869
20356544.781116202,74,4926
20040571.655002512,75,4995
20040571.655002512,76,5049
19915257.98053818,77,5132
19587245.799123276,78,5203
19389818.304037977,79,5267
19389818.304037977,80,5342
18549186.687637094,81,5417
18178607.33718624,82,5452
17959676.44446989,83,5502
17490795.97692345,84,5567
17490795.97692345,85,5639
17021827.011110768,86,5723
16216412.382132139,87,5808
16216412.382132139,88,5886
15857943.34375485,89,5963
15693736.278481437,90,6043
14794950.055163823,91,6125
14473877.084233271,92,6169
14148863.099986475,93,6242
13774813.430067029,94,6336
13774813.430067029,95,6385
13317979.56222931,96,6449
13317979.56222931,97,6517
12474857.619984925,98,6567
12474857.619984925,99,6605
12226004.332237175,100,6654
12226004.332237175,101,6715
12226004.332237175,102,6794
11954331.588614294,103,6886
11922925.390734129,104,6949
11584439.793544076,105,7030
11475350.096233696,106,7076
11475350.096233696,107,7163
11029016.316081384,108,7239
10820033.728826342,109,7296
10820033.728826342,110,7339
10529217.169469777,111,7440
10529217.169469777,112,7484
10492794.627671873,113,7562
10492794.627671873,114,7638
10492794.627671873,115,7731
10377009.602269059,116,7798
10308613.272673521,117,7869
9969963.379532076,118,7963
9969963.379532076,119,8018
9969963.379532076,120,8063
9908391.436219066,121,8115
9908391.436219066,122,8177
9539281.63380158,123,8265
9535035.795276467,124,8316
9535035.795276467,125,8375
9305353.180619432,126,8466
9305353.180619432,127,8538
9119609.748182546,128,8620
9119609.748182546,129,8687
9119609.748182546,130,8767
8956417.339312073,131,8839
8956417.339312073,132,8918
8854198.540348016,133,9013
8699354.539613208,134,9068
8699354.539613208,135,9114
8594433.573157452,136,9196
8594433.573157452,137,9260
8571358.232260374,138,9343
8571358.232260374,139,9427
8571358.232260374,140,9509
8510011.671531979,141,9592
8510011.671531979,142,9677
8510011.671531979,143,9753
8388504.238471693,144,9836
8388504.238471693,145,9915
8351618.321464579,146,9992
8351618.321464579,147,10069
8351618.321464579,148,10148
8351618.321464579,149,10237
8351618.321464579,150,10326
8351618.321464579,151,10395
8184609.845753964,152,10479
8044278.526741872,153,10564
8007630.925759515,154,10659
8007630.925759515,155,10728
7978660.676521537,156,10812
7978660.676521537,157,10878
7702064.883823106,158,10944
7702064.883823106,159,10987
7702064.883823106,160,11032
7598417.992224681,161,11110
7598417.992224681,162,11187
7598417.992224681,163,11266
7598417.992224681,164,11351
7517083.5883718645,165,11427
7517083.5883718645,166,11499
7418296.973247919,167,11582
7418296.973247919,168,11641
7162072.583143076,169,11723
7162072.583143076,170,11778
7162072.583143076,171,11866
6937104.007855253,172,11942
6937104.007855253,173,12013
6937104.007855253,174,12096
6937104.007855253,175,12167
6937104.007855253,176,12243
6901888.226451623,177,12338
6901888.226451623,178,12419
