generation,unique_ids
0,30
1,19
2,15
3,18
4,15
5,13
6,13
7,18
8,19
9,15
10,20
11,16
12,16
13,22
14,15
15,14
16,16
17,13
18,16
19,14
20,18
21,15
22,15
23,15
24,16
25,14
26,10
27,9
28,12
29,11
30,14
31,11
32,8
33,11
34,9
35,7
36,17
37,17
38,18
39,13
40,10
41,9
42,6
43,8
44,12
45,12
46,14
47,13
48,15
49,12
50,13
51,14
52,12
53,9
54,10
55,14
56,13
57,9
58,7
59,6
60,9
61,9
62,9
63,9
64,7
65,6
66,6
67,7
68,7
69,7
70,9
71,9
72,11
73,12
74,10
75,8
76,8
77,13
78,10
79,10
80,11
81,9
82,8
83,6
84,6
85,4
86,5
87,7
88,8
89,6
90,9
91,8
92,9
93,10
94,8
95,10
96,9
97,7
98,12
99,9
100,9
101,8
102,6
103,5
104,6
105,8
106,6
107,7
108,6
109,4
110,5
111,2
112,5
113,8
114,4
115,4
116,6
117,7
118,2
119,7
120,6
121,5
122,3
123,4
124,7
125,8
126,4
127,2
128,2
129,2
130,4
131,6
132,6
133,9
134,7
135,7
136,6
137,5
138,5
139,9
140,6
141,8
142,6
143,7
144,3
145,8
146,13
147,10
148,5
149,5
150,2
151,5
152,5
153,11
154,9
155,9
156,11
157,8
158,10
159,11
160,8
161,12
162,10
163,13
164,8
165,7
166,6
167,4
168,5
169,7
170,7
171,6
172,5
173,6
174,6
175,6
176,5
177,5
178,4
179,6
180,8
181,8
182,4
183,3
184,3
185,7
186,5
187,2
188,3
189,7
190,10
191,12
192,5
193,3
194,3
195,8
196,6
197,6
198,5
199,6
200,5
201,4
202,8
203,5
204,7
205,4
206,4
207,2
208,4
209,5
210,5
211,7
212,7
213,6
214,6
215,6
216,4
217,8
218,5
219,6
220,4
221,8
222,6
223,7
224,6
225,5
226,6
227,4
228,4
229,7
230,8
231,5
232,7
233,8
234,7
235,5
236,3
237,5
238,14
239,12
240,9
241,4
242,6
243,5
244,6
245,5
246,7
247,10
248,9
249,9
250,7
251,9
252,5
253,5
254,5
255,6
256,3
257,6
258,7
259,8
260,8
261,4
262,7
263,6
264,9
265,8
266,4
267,5
268,7
269,6
270,5
271,8
272,9
273,7
274,9
275,9
276,7
277,8
278,7
279,7
280,4
281,5
282,3
283,7
284,5
285,6
286,5
287,4
288,6
289,5
290,7
291,7
292,8
293,6
294,3
295,6
296,7
297,4
298,5
299,8
300,8
301,5
302,6
303,4
304,8
305,4
306,3
307,7
308,3
309,4
310,7
311,10
312,4
313,4
314,6
315,4
316,6
317,2
318,4
319,7
320,4
321,5
322,5
323,6
324,7
325,6
326,6
327,8
328,7
329,4
330,6
331,6
332,7
333,6
334,9
335,7
336,10
337,5
338,9
339,4
340,4
341,6
342,7
343,5
344,6
345,7
346,4
347,5
348,6
349,7
350,2
351,4
352,7
353,5
354,6
355,5
356,8
357,7
358,6
359,2
360,4
361,6
362,2
363,8
364,6
365,7
366,7
367,11
368,11
369,5
370,8
371,4
372,6
373,5
374,3
375,7
376,7
377,5
378,5
379,7
380,6
381,7
382,8
383,4
384,8
385,8
386,13
387,5
388,3
389,5
390,4
391,1
392,3
393,3
394,10
395,8
396,6
397,5
398,7
399,6
400,3
401,4
402,4
403,7
404,6
405,7
406,7
407,5
408,8
409,7
410,7
411,7
412,5
413,7
414,5
415,2
416,4
417,6
418,6
419,6
420,8
421,8
422,6
423,2
424,3
425,7
426,4
427,7
428,7
429,4
430,4
431,5
432,6
433,4
434,4
435,5
436,7
437,3
438,4
439,2
440,3
441,5
442,5
443,6
444,8
445,9
446,7
447,9
448,9
449,3
450,7
451,4
452,4
453,4
454,4
455,7
456,8
457,6
458,5
459,8
460,8
461,8
462,6
463,4
464,4
465,10
466,9
467,3
468,3
469,5
470,6
471,5
472,6
473,7
474,5
475,5
476,3
477,5
478,4
479,7
480,7
481,5
482,4
483,6
484,6
485,6
486,6
487,6
488,4
489,7
490,8
491,8
492,9
493,4
494,9
495,6
496,4
497,5
498,5
499,6
500,6
501,6
502,5
503,4
504,6
505,5
506,2
507,5
508,6
509,3
510,5
511,5
512,5
513,4
514,5
515,7
516,3
517,5
518,2
519,6
520,7
521,6
522,5
523,2
524,5
525,7
526,5
527,4
528,5
529,7
530,7
531,3
532,5
533,3
534,3
535,5
536,7
537,6
538,5
539,9
540,7
541,8
542,6
543,7
544,5
545,7
546,5
547,4
548,5
549,4
550,7
551,5
552,8
553,7
554,4
555,5
556,3
557,4
558,7
559,4
560,5
561,9
562,12
563,8
564,7
565,6
566,4
567,4
568,5
569,4
570,4
571,5
572,8
573,4
574,5
575,7
576,5
577,6
578,5
579,7
580,8
581,5
582,3
583,5
584,7
585,8
586,9
587,5
588,2
589,5
590,6
591,6
592,3
593,6
594,5
595,5
596,5
597,6
598,4
599,7
600,8
601,7
602,10
603,7
604,6
605,10
606,7
607,6
608,7
609,9
610,8
611,6
612,7
613,4
614,3
615,3
616,6
617,4
618,5
619,6
620,7
621,3
622,5
623,4
