generation,unique_ids
0,30
1,21
2,16
3,16
4,17
5,18
6,20
7,15
8,14
9,12
10,11
11,11
12,10
13,9
14,9
15,10
16,8
17,7
18,9
19,4
20,6
21,8
22,6
23,7
24,7
25,6
26,5
27,8
28,6
29,6
30,6
31,6
32,7
33,5
34,7
35,9
36,8
37,9
38,5
39,10
40,10
41,8
42,8
43,6
44,6
45,11
46,8
47,7
48,7
49,5
50,5
51,11
52,10
53,8
54,4
55,6
56,3
57,4
58,5
59,6
60,4
61,4
62,7
63,6
64,7
65,7
66,5
67,6
68,6
69,8
70,5
71,10
72,7
73,11
74,7
75,6
76,5
77,9
78,6
79,4
80,6
81,6
82,5
83,6
84,4
85,7
86,8
87,9
88,7
89,7
90,12
91,8
92,6
93,7
94,6
95,7
96,8
97,9
98,6
99,7
100,3
101,8
102,6
103,6
104,6
105,5
106,6
107,6
108,5
109,6
110,6
111,6
112,5
113,4
114,3
115,6
116,8
117,8
118,4
119,5
120,8
121,9
122,7
123,7
124,9
125,3
126,9
127,8
128,5
129,5
130,8
131,4
132,4
133,8
134,5
135,4
136,3
137,5
138,6
139,5
140,5
141,6
142,7
143,6
144,4
145,6
146,6
147,4
148,9
149,7
150,11
151,7
152,8
153,10
154,10
155,8
156,5
157,7
158,7
159,5
160,11
161,4
162,5
163,3
164,2
165,4
166,6
167,5
168,5
169,5
170,7
171,5
172,5
173,4
174,5
175,7
176,4
177,6
178,5
179,2
180,4
181,5
182,5
183,6
184,6
185,6
186,7
187,9
188,8
189,5
190,3
191,7
192,6
193,2
194,5
195,6
196,9
197,5
198,4
199,5
200,4
201,6
202,6
203,5
204,4
205,7
206,6
207,6
208,4
209,3
210,5
211,6
212,6
213,4
214,8
215,5
216,4
217,7
218,6
219,5
220,8
221,8
222,2
223,3
224,4
225,3
226,5
227,7
228,8
229,8
230,6
231,9
232,7
233,8
234,11
235,5
236,5
237,9
238,7
239,6
240,5
241,9
242,5
243,4
244,8
245,8
246,8
247,7
248,9
249,6
250,9
251,10
252,8
253,8
254,5
255,4
256,6
257,5
258,2
259,6
260,4
261,5
262,6
263,6
264,6
265,5
266,4
267,10
268,10
269,12
270,6
271,7
272,6
273,5
274,6
275,7
276,6
277,8
278,7
279,4
280,3
281,6
282,9
283,7
284,5
285,4
286,5
287,4
288,5
289,5
290,5
291,5
292,6
293,8
294,9
295,7
296,9
297,6
298,3
299,3
300,5
301,4
302,3
303,1
304,3
305,3
306,5
307,5
308,6
309,8
310,7
311,6
312,6
313,9
314,7
315,6
316,3
317,4
318,4
319,5
320,6
321,8
322,8
323,7
324,6
325,8
326,8
327,5
328,5
329,5
330,5
331,5
332,5
333,4
334,4
335,3
336,3
337,6
338,7
339,3
340,2
341,5
342,6
343,5
344,5
345,5
346,5
347,7
348,5
349,5
350,8
351,10
352,6
353,8
354,1
355,3
356,3
357,3
358,5
359,7
360,5
361,6
362,5
363,4
364,1
365,2
366,5
367,8
368,2
369,4
370,6
371,11
372,10
373,3
374,3
375,3
376,3
377,6
378,6
379,9
380,4
381,8
382,4
383,8
384,10
385,6
386,9
387,6
388,5
389,4
390,5
391,3
392,7
393,8
394,4
395,5
396,7
397,7
398,7
399,8
400,8
401,10
402,10
403,6
404,6
405,9
406,6
407,6
408,4
409,3
410,1
411,2
412,5
413,5
414,3
415,2
416,7
417,6
418,5
419,7
420,6
421,4
422,8
423,5
424,5
425,7
426,6
427,6
428,3
429,4
430,6
431,5
432,8
433,3
434,6
435,6
436,4
437,6
438,6
439,3
440,6
441,9
442,8
443,5
444,4
445,3
446,7
447,6
448,7
449,5
450,7
451,3
452,5
453,7
454,3
455,6
456,4
457,5
458,7
459,6
460,8
461,7
462,4
463,5
464,6
465,8
466,4
467,4
468,6
469,8
470,5
471,6
472,4
473,6
474,9
475,10
476,6
477,7
478,5
479,4
480,8
481,7
482,5
483,4
484,7
485,4
486,7
487,5
488,3
489,10
490,7
491,6
492,6
493,2
494,4
495,7
496,6
497,7
498,7
499,5
500,5
501,6
502,5
503,7
504,11
505,11
506,7
507,3
508,7
509,6
510,6
511,10
512,7
513,4
514,4
515,3
516,6
517,8
518,8
519,8
520,5
521,6
522,5
523,4
524,9
525,8
526,8
527,7
528,7
529,7
530,10
531,5
532,4
533,7
534,6
535,5
536,5
537,6
538,8
539,5
540,6
541,6
542,3
543,8
544,5
545,4
546,5
547,7
548,5
549,3
550,6
551,7
552,8
553,9
554,10
555,7
556,3
557,4
558,6
559,4
560,4
561,5
562,6
563,8
564,7
565,8
566,5
567,7
568,9
569,7
570,5
571,4
572,7
573,8
574,8
575,5
576,7
577,9
578,7
579,6
580,2
581,5
582,4
583,7
584,7
585,6
586,5
587,8
588,11
589,9
590,8
591,7
592,3
593,7
594,3
595,4
596,3
597,3
598,4
599,7
600,7
