generation,unique_ids
0,30
1,19
2,20
3,13
4,19
5,15
6,11
7,9
8,7
9,8
10,9
11,8
12,7
13,8
14,10
15,12
16,13
17,9
18,11
19,9
20,10
21,10
22,7
23,7
24,10
25,10
26,11
27,9
28,10
29,8
30,5
31,6
32,6
33,8
34,8
35,7
36,4
37,4
38,6
39,10
40,8
41,9
42,7
43,7
44,9
45,5
46,7
47,8
48,3
49,3
50,4
51,4
52,7
53,7
54,7
55,7
56,10
57,6
58,8
59,7
60,8
61,7
62,10
63,6
64,5
65,5
66,6
67,6
68,5
69,7
70,5
71,3
72,6
73,8
74,4
75,4
76,4
77,6
78,6
79,7
80,7
81,4
82,4
83,6
84,3
85,5
86,5
87,4
88,3
89,4
90,4
91,4
92,8
93,4
94,4
95,8
96,7
97,5
98,3
99,2
100,3
101,4
102,6
103,6
104,4
105,5
106,10
107,7
108,4
109,6
110,3
111,7
112,7
113,2
114,3
115,4
116,3
117,5
118,7
119,6
120,5
121,5
122,7
123,7
124,8
125,7
126,7
127,3
128,5
129,7
130,5
131,4
132,9
133,8
134,8
135,6
136,6
137,6
138,5
139,2
140,3
141,3
142,3
143,11
144,4
145,1
146,1
147,4
148,5
149,4
150,5
151,7
152,7
153,6
154,4
155,6
156,7
157,9
158,6
159,7
160,5
161,6
162,3
163,4
164,3
165,4
166,7
167,6
168,6
169,5
170,8
171,10
172,9
173,7
174,10
175,6
176,9
177,8
178,5
179,4
180,5
181,9
182,9
183,9
184,5
185,5
186,5
187,1
188,2
189,3
190,4
191,7
192,7
193,8
194,7
195,3
196,7
197,4
198,5
199,9
200,6
201,3
202,7
203,3
204,5
205,6
206,8
207,3
208,3
209,3
210,2
211,4
212,6
213,4
214,6
215,3
216,7
217,5
218,7
219,5
220,3
221,4
222,8
223,4
224,6
225,5
226,4
227,7
228,4
229,9
230,5
231,6
232,3
233,4
234,4
235,3
236,10
237,11
238,9
239,6
240,8
241,5
242,7
243,5
244,4
245,7
246,5
247,6
248,6
249,6
250,6
251,9
252,6
253,6
254,9
255,4
256,5
257,5
258,4
259,4
260,10
261,5
262,3
263,5
264,7
265,2
266,6
267,4
268,6
269,8
270,6
271,6
272,8
273,5
274,7
275,4
276,4
277,10
278,7
279,5
280,6
281,8
282,9
283,9
284,7
285,6
286,5
287,5
288,6
289,5
290,5
291,7
292,5
293,4
294,7
295,7
296,6
297,6
298,6
299,5
300,5
301,6
302,5
303,4
304,4
305,6
306,6
307,3
308,7
309,4
310,8
311,7
312,9
313,5
314,5
315,4
316,3
317,7
318,2
319,6
320,7
321,4
322,7
323,7
324,6
325,3
326,4
327,5
328,8
329,3
330,7
331,3
332,4
333,6
334,5
335,6
336,4
337,5
338,8
339,6
340,6
341,2
342,3
343,4
344,5
345,5
346,10
347,7
348,6
349,3
350,5
351,5
352,5
353,5
354,7
355,6
356,4
357,1
358,2
359,3
360,6
361,5
362,5
363,5
364,5
365,4
366,5
367,4
368,5
369,3
370,4
371,7
372,5
373,9
374,4
375,6
376,8
377,5
378,6
379,9
380,5
381,7
382,5
383,10
384,5
385,7
386,8
387,7
388,9
389,6
390,3
391,5
392,8
393,11
394,8
395,7
396,9
397,4
398,5
399,8
400,7
401,5
402,3
403,5
404,5
405,4
406,7
407,9
408,3
409,2
410,7
411,6
412,6
413,6
414,6
415,5
416,6
417,7
418,6
419,8
420,6
421,8
422,5
423,7
424,4
425,7
426,5
427,5
428,5
429,5
430,5
431,4
432,9
433,7
434,6
435,8
436,6
437,6
438,10
439,4
440,9
441,6
442,3
443,2
444,5
445,6
446,5
447,9
448,6
449,8
450,7
451,5
452,6
453,5
454,5
455,5
456,2
457,5
458,7
459,9
460,8
461,9
462,6
463,7
464,6
465,5
466,9
467,8
468,7
469,6
470,10
471,6
472,5
473,6
474,4
475,6
476,5
477,6
478,5
479,10
480,9
481,6
482,5
483,11
484,7
485,5
486,7
487,6
488,9
489,4
490,5
491,5
492,6
493,5
494,8
495,6
496,6
497,7
498,7
499,3
500,4
501,5
502,5
503,4
504,5
505,5
506,5
507,11
508,7
509,4
510,7
511,3
512,5
513,4
514,5
515,5
516,6
517,8
518,5
519,6
520,5
521,7
522,6
523,8
524,10
525,7
526,5
527,4
528,4
529,6
530,5
531,5
532,6
533,4
534,3
535,5
536,7
537,6
538,10
539,8
540,6
541,7
542,4
543,6
544,8
545,8
546,5
547,6
548,7
549,8
550,8
551,6
552,9
553,7
554,5
555,8
556,5
557,5
558,6
559,10
560,6
561,8
562,7
563,7
564,10
565,7
566,3
567,8
568,7
569,5
570,5
571,6
572,8
573,9
574,7
575,8
576,10
577,11
578,8
579,12
580,9
581,6
582,5
583,4
584,8
585,9
586,7
587,9
588,8
589,8
590,8
591,6
592,4
593,4
594,3
595,2
596,6
597,6
598,5
599,2
600,8
601,5
602,4
603,6
604,5
605,7
606,6
