objective_value,generation,evaluations
4.303204960381011,0,30
2.1958703614305572,1,114
0.3591032435703852,2,177
0.018438671446955435,3,266
0.008049328018101575,4,345
0.00613957270647492,5,419
0.002369780189054221,6,512
0.002369780189054221,7,580
0.002369780189054221,8,663
0.0011082249735804902,9,753
0.0011082249735804902,10,832
0.00027734023560655396,11,919
0.00027734023560655396,12,1006
0.00027734023560655396,13,1097
0.00027734023560655396,14,1176
0.00027734023560655396,15,1257
0.00027734023560655396,16,1343
0.00027734023560655396,17,1418
0.00027734023560655396,18,1508
0.0001355429881510795,19,1589
0.0001355429881510795,20,1678
0.0001355429881510795,21,1772
0.0001355429881510795,22,1838
0.0001355429881510795,23,1906
0.0001355429881510795,24,1987
0.0001355429881510795,25,2072
0.0001355429881510795,26,2164
0.0001355429881510795,27,2252
0.0001355429881510795,28,2335
0.0001355429881510795,29,2424
0.0001355429881510795,30,2511
0.0001355429881510795,31,2600
0.0001355429881510795,32,2692
0.0001355429881510795,33,2784
0.0001355429881510795,34,2874
0.0001355429881510795,35,2952
0.0001355429881510795,36,3034
0.0001355429881510795,37,3117
0.0001355429881510795,38,3205
0.0001355429881510795,39,3278
0.0001355429881510795,40,3381
0.0001355429881510795,41,3477
0.0001355429881510795,42,3579
0.0001355429881510795,43,3662
0.0001355429881510795,44,3745
0.0001355429881510795,45,3824
0.0001355429881510795,46,3904
0.0001355429881510795,47,3994
0.0001355429881510795,48,4079
0.0001355429881510795,49,4168
0.0001355429881510795,50,4253
0.0001355429881510795,51,4334
0.0001355429881510795,52,4407
0.0001355429881510795,53,4506
0.0001355429881510795,54,4592
0.0001355429881510795,55,4682
0.0001355429881510795,56,4758
0.0001355429881510795,57,4854
0.0001355429881510795,58,4934
0.0001355429881510795,59,5025
0.0001355429881510795,60,5103
0.0001355429881510795,61,5187
0.0001355429881510795,62,5273
0.0001355429881510795,63,5367
0.0001355429881510795,64,5463
0.0001355429881510795,65,5548
0.0001355429881510795,66,5630
0.0001355429881510795,67,5698
0.0001355429881510795,68,5780
0.0001355429881510795,69,5852
0.0001355429881510795,70,5935
0.0001355429881510795,71,6017
7.333770936288193e-05,72,6100
7.333770936288193e-05,73,6179
7.333770936288193e-05,74,6269
7.333770936288193e-05,75,6362
7.333770936288193e-05,76,6446
7.333770936288193e-05,77,6537
7.333770936288193e-05,78,6618
7.333770936288193e-05,79,6694
7.333770936288193e-05,80,6766
7.333770936288193e-05,81,6848
7.333770936288193e-05,82,6920
7.333770936288193e-05,83,7012
7.333770936288193e-05,84,7087
7.333770936288193e-05,85,7166
7.333770936288193e-05,86,7248
7.333770936288193e-05,87,7335
7.333770936288193e-05,88,7429
7.333770936288193e-05,89,7503
7.333770936288193e-05,90,7591
7.333770936288193e-05,91,7677
7.333770936288193e-05,92,7758
7.333770936288193e-05,93,7836
7.333770936288193e-05,94,7896
7.333770936288193e-05,95,7988
7.333770936288193e-05,96,8076
7.333770936288193e-05,97,8171
7.333770936288193e-05,98,8258
7.333770936288193e-05,99,8328
7.333770936288193e-05,100,8403
7.333770936288193e-05,101,8484
7.333770936288193e-05,102,8556
7.333770936288193e-05,103,8643
7.333770936288193e-05,104,8733
7.333770936288193e-05,105,8826
7.333770936288193e-05,106,8901
7.333770936288193e-05,107,8978
7.333770936288193e-05,108,9050
7.333770936288193e-05,109,9132
7.333770936288193e-05,110,9217
7.333770936288193e-05,111,9288
7.333770936288193e-05,112,9366
7.333770936288193e-05,113,9455
7.333770936288193e-05,114,9546
