generation,unique_ids
0,30
1,16
2,20
3,16
4,19
5,16
6,18
7,15
8,12
9,8
10,8
11,8
12,8
13,8
14,10
15,14
16,9
17,9
18,13
19,12
20,10
21,7
22,12
23,6
24,5
25,5
26,4
27,8
28,6
29,10
30,7
31,14
32,5
33,8
34,6
35,9
36,8
37,6
38,8
39,7
40,8
41,9
42,8
43,6
44,6
45,3
46,5
47,11
48,9
49,7
50,10
51,8
52,9
53,6
54,8
55,10
56,10
57,7
58,7
59,5
60,5
61,6
62,5
63,5
64,5
65,3
66,8
67,7
68,6
69,7
70,9
71,10
72,9
73,9
74,10
75,12
76,6
77,6
78,11
79,7
80,9
81,6
82,4
83,3
84,5
85,5
86,7
87,7
88,6
89,7
90,7
91,6
92,6
93,4
94,8
95,5
96,8
97,7
98,6
99,4
100,5
101,8
102,9
103,8
104,5
105,3
106,5
107,7
108,7
109,9
110,12
111,9
112,6
113,7
114,4
115,4
116,5
117,8
118,7
119,7
120,10
121,7
122,8
123,5
124,4
125,5
126,4
127,5
128,4
129,2
130,5
131,6
132,5
133,7
134,6
135,12
136,7
137,3
138,4
139,5
140,6
141,8
142,7
143,5
144,4
145,6
146,4
147,4
148,4
149,4
150,5
151,4
152,3
153,5
154,3
155,1
156,2
157,2
158,5
159,7
160,8
161,5
162,4
163,5
164,6
165,4
166,4
167,6
168,5
169,6
170,9
171,9
172,8
173,8
174,4
175,4
176,7
177,9
178,8
179,4
180,10
181,8
182,8
183,7
184,5
185,8
186,6
187,2
188,7
189,10
190,8
191,8
192,6
193,8
194,9
195,4
196,4
197,4
198,6
199,6
200,8
201,7
202,7
203,5
204,9
205,5
206,5
207,5
208,8
209,7
210,4
211,5
212,5
213,2
214,2
215,8
216,5
217,6
218,8
219,3
220,3
221,3
222,7
223,7
224,4
225,5
226,8
227,5
228,5
229,4
230,2
231,4
232,5
233,3
234,5
235,4
236,6
237,6
238,4
239,4
240,9
241,8
242,5
243,9
244,7
245,5
246,6
247,5
248,5
249,8
250,4
251,8
252,9
253,9
254,6
255,4
256,9
257,4
258,6
259,8
260,5
261,4
262,11
263,8
264,6
265,8
266,6
267,8
268,8
269,5
270,6
271,7
272,7
273,3
274,6
275,5
276,10
277,9
278,7
279,6
280,4
281,6
282,6
283,5
284,6
285,6
286,6
287,4
288,4
289,3
290,5
291,6
292,8
293,7
294,4
295,3
296,5
297,7
298,5
299,7
300,5
301,6
302,4
303,8
304,10
305,7
306,3
307,5
308,6
309,5
310,5
311,5
312,4
313,5
314,3
315,6
316,5
317,7
318,9
319,9
320,7
321,7
322,5
323,6
324,4
325,4
326,7
327,9
328,6
329,7
330,6
331,5
332,7
333,7
334,8
335,8
336,4
337,6
338,4
339,3
340,7
341,7
342,8
343,8
344,4
345,8
346,8
347,8
348,6
349,7
350,5
351,9
352,9
353,11
354,9
355,6
356,8
357,8
358,9
359,6
360,2
361,4
362,6
363,7
364,7
365,7
366,6
367,9
368,10
369,9
370,6
371,8
372,4
373,5
374,7
375,5
376,4
377,7
378,11
379,8
380,8
381,7
382,9
383,6
384,7
385,4
386,4
387,6
388,8
389,8
390,7
391,6
392,7
393,5
394,4
395,5
396,5
397,7
398,11
399,5
400,5
401,6
402,6
403,5
404,7
405,5
406,8
407,4
408,3
409,6
410,7
411,9
412,4
413,8
414,8
415,7
416,5
417,2
418,5
419,5
420,10
421,5
422,8
423,4
424,5
425,5
426,6
427,9
428,8
429,4
430,6
431,5
432,4
433,6
434,3
435,4
436,8
437,8
438,5
439,7
440,7
441,10
442,8
443,3
444,3
445,5
446,5
447,5
448,3
449,4
450,4
451,6
452,6
453,9
454,4
455,6
456,6
457,6
458,8
459,6
460,3
461,4
462,6
463,4
464,3
465,6
466,8
467,6
468,6
469,5
470,4
471,7
472,8
473,10
474,6
475,7
476,6
477,6
478,4
479,8
480,7
481,8
482,7
483,8
484,3
485,3
486,3
487,3
488,7
489,8
490,7
491,7
492,3
493,3
494,7
495,7
496,5
497,4
498,5
499,9
500,6
501,5
502,6
503,8
504,11
505,8
506,9
507,8
508,10
509,9
510,8
511,10
512,6
513,6
514,7
515,4
516,2
517,6
518,5
519,4
520,9
521,5
522,6
523,6
524,8
525,4
526,6
527,8
528,12
529,7
530,6
531,7
532,11
533,9
534,6
535,5
536,6
537,6
538,5
539,3
540,6
541,6
542,7
543,7
544,7
545,8
546,6
547,7
548,8
549,2
550,6
551,5
552,5
553,5
554,8
555,9
556,7
557,6
558,9
559,9
560,8
561,9
562,6
563,4
564,5
565,5
566,4
567,4
568,4
569,4
570,5
571,6
572,7
573,6
574,7
575,9
576,5
577,7
578,8
579,8
580,7
581,7
582,8
583,5
584,5
585,7
586,3
587,6
588,3
589,8
590,6
591,4
592,4
593,6
594,7
595,6
596,5
597,4
