generation,unique_ids
0,30
1,15
2,11
3,14
4,11
5,10
6,11
7,10
8,11
9,11
10,9
11,6
12,10
13,7
14,11
15,13
16,8
17,11
18,9
19,11
20,11
21,9
22,8
23,7
24,4
25,6
26,4
27,7
28,9
29,7
30,14
31,11
32,9
33,8
34,6
35,9
36,9
37,7
38,8
39,7
40,5
41,7
42,9
43,6
44,5
45,6
46,9
47,7
48,7
49,7
50,7
51,7
52,5
53,7
54,8
55,4
56,4
57,5
58,7
59,10
60,8
61,9
62,5
63,9
64,7
65,5
66,7
67,6
68,7
69,8
70,7
71,5
72,6
73,7
74,4
75,6
76,5
77,4
78,4
79,5
80,6
81,4
82,2
83,5
84,5
85,6
86,7
87,7
88,8
89,8
90,7
91,10
92,7
93,6
94,4
95,6
96,4
97,6
98,7
99,5
100,5
101,5
102,10
103,7
104,7
105,5
106,2
107,5
108,3
109,2
110,5
111,5
112,4
113,3
114,6
115,6
116,6
117,6
118,3
119,3
120,5
121,3
122,6
123,3
124,7
125,5
126,12
127,5
128,5
129,3
130,2
131,2
132,5
133,4
134,5
135,6
136,5
137,6
138,8
139,5
140,4
141,6
142,3
143,4
144,5
145,5
146,7
147,6
148,3
149,3
150,5
151,5
152,5
153,5
154,6
155,6
156,2
157,5
158,3
159,3
160,6
161,4
162,4
163,6
164,7
165,4
166,2
167,1
168,3
169,5
170,3
171,5
172,5
173,4
174,5
175,6
176,5
177,4
178,7
179,4
180,6
181,5
182,10
183,6
184,3
185,4
186,4
187,6
188,12
189,6
190,5
191,7
192,8
193,5
194,3
195,6
196,4
197,5
198,8
199,11
200,5
201,4
202,7
203,5
204,5
205,2
206,4
207,8
208,5
209,2
210,5
211,3
212,5
213,5
214,3
215,7
216,5
217,6
218,6
219,5
220,4
221,3
222,5
223,5
224,2
225,4
226,3
227,6
228,5
229,5
230,3
231,5
232,5
233,4
234,4
235,3
236,6
237,7
238,8
239,5
240,7
241,5
242,6
243,6
244,8
245,6
246,6
247,4
248,7
249,3
250,5
251,5
252,6
253,11
254,11
255,6
256,8
257,5
258,4
259,7
260,7
261,7
262,7
263,4
264,4
265,3
266,4
267,6
268,3
269,5
270,4
271,3
272,4
273,4
274,5
275,7
276,4
277,6
278,8
279,5
280,6
281,3
282,3
283,6
284,6
285,4
286,7
287,8
288,2
289,5
290,6
291,3
292,4
293,6
294,6
295,4
296,4
297,5
298,9
299,3
300,3
301,3
302,6
303,6
304,7
305,9
306,6
307,3
308,5
309,6
310,6
311,8
312,5
313,9
314,6
315,8
316,8
317,8
318,8
319,5
320,5
321,3
322,5
323,4
324,6
325,3
326,6
327,7
328,7
329,8
330,5
331,5
332,4
333,5
334,7
335,6
336,3
337,3
338,3
339,4
340,7
341,7
342,7
343,5
344,4
345,4
346,5
347,5
348,4
349,4
350,1
351,2
352,5
353,7
354,4
355,7
356,5
357,4
358,4
359,5
360,7
361,7
362,5
363,5
364,7
365,6
366,4
367,6
368,6
369,5
370,6
371,5
372,6
373,7
374,4
375,6
376,4
377,3
378,5
379,8
380,6
381,8
382,5
383,4
384,4
385,4
386,4
387,6
388,3
389,4
390,5
391,3
392,4
393,7
394,5
395,5
396,5
397,3
398,4
399,5
400,3
401,3
402,6
403,8
404,8
405,4
406,6
407,5
408,7
409,7
410,3
411,7
412,3
413,5
414,4
415,6
416,10
417,7
418,3
419,5
420,7
421,3
422,4
423,8
424,7
425,8
426,4
427,5
428,4
429,4
430,6
431,6
432,4
433,2
434,3
435,5
436,10
437,3
438,4
439,9
440,6
441,5
442,6
443,4
444,7
445,5
446,5
447,9
448,6
449,5
450,6
451,4
452,4
453,5
454,6
455,5
456,5
457,6
458,5
459,4
460,6
461,3
462,5
463,5
464,6
465,10
466,4
467,4
468,6
469,9
470,7
471,4
472,7
473,5
474,3
475,4
476,6
477,6
478,4
479,5
480,5
481,4
482,5
483,8
484,6
485,7
486,5
487,7
488,5
489,5
490,6
491,5
492,7
493,3
494,6
495,8
496,5
497,3
498,3
499,3
500,5
501,3
502,2
503,5
504,6
505,6
506,2
507,3
508,5
509,5
510,7
511,5
512,7
513,7
514,4
515,9
516,5
517,6
518,8
519,3
520,1
521,4
522,3
523,5
524,7
525,10
526,6
527,6
528,2
529,5
530,4
531,4
532,5
533,4
534,5
535,4
536,5
537,6
538,5
539,4
540,6
541,11
542,12
543,5
544,3
545,8
546,7
547,4
548,8
549,7
550,6
551,4
552,3
553,6
554,8
555,4
556,8
557,3
558,7
559,9
560,6
561,5
562,5
563,6
564,4
565,6
566,7
567,5
568,5
569,8
570,6
571,7
572,6
573,7
574,5
575,3
576,3
577,4
578,8
579,4
580,3
581,8
582,4
583,5
584,8
585,7
586,5
587,4
588,7
589,5
590,6
591,2
592,9
593,6
594,6
595,7
596,8
597,4
598,4
599,3
600,7
601,5
602,7
603,8
604,7
605,6
606,5
607,6
608,4
609,5
610,3
611,5
612,2
613,9
614,5
615,5
616,7
617,5
618,8
619,6
620,9
621,6
622,4
623,9
624,10
