generation,unique_ids
0,30
1,15
2,12
3,20
4,14
5,18
6,14
7,14
8,11
9,21
10,13
11,11
12,16
13,12
14,16
15,13
16,15
17,17
18,13
19,10
20,15
21,18
22,16
23,17
24,13
25,16
26,16
27,15
28,12
29,15
30,15
31,19
32,14
33,14
34,15
35,13
36,16
37,17
38,14
39,14
40,18
41,18
42,10
43,12
44,14
45,14
46,15
47,17
48,19
49,14
50,14
51,13
52,18
53,15
54,12
55,10
56,19
57,16
58,16
59,13
60,13
61,13
62,15
63,11
64,13
65,13
66,12
67,17
68,17
69,12
70,16
71,13
72,16
73,16
74,16
75,15
76,11
77,11
78,14
79,15
80,15
81,12
82,17
83,15
84,17
85,16
86,12
87,14
88,14
89,16
90,15
91,15
92,16
93,10
94,11
95,12
96,11
97,13
98,8
99,13
100,15
101,15
102,11
103,11
104,12
105,13
106,15
107,13
108,13
109,11
110,17
111,11
112,8
113,13
114,11
115,10
116,14
117,10
118,10
119,11
120,15
121,10
122,12
123,13
124,9
125,10
126,11
127,13
128,10
129,9
130,9
131,9
132,7
133,7
134,13
135,10
136,12
137,15
138,12
139,11
140,10
141,6
142,6
143,9
144,9
145,10
146,10
147,10
148,9
149,10
150,10
151,10
152,11
153,9
154,11
155,16
156,13
157,11
158,13
159,14
160,16
161,12
162,13
163,13
164,11
165,10
166,11
167,15
168,13
169,18
170,10
171,14
172,12
173,10
174,12
175,12
176,13
177,11
178,12
179,10
180,10
181,4
182,5
183,7
184,7
185,7
186,10
187,11
188,10
189,6
190,6
191,9
192,6
193,6
194,8
195,9
196,7
197,8
198,14
199,12
200,10
201,9
202,8
203,8
204,7
205,9
206,7
207,11
208,10
209,14
210,9
211,9
212,9
213,13
214,10
215,11
216,10
217,7
218,10
219,12
220,10
221,9
222,7
223,7
224,7
225,12
226,8
227,9
228,5
229,5
230,7
231,7
232,6
233,4
234,5
235,8
236,7
237,9
238,7
239,11
240,5
241,6
242,5
243,5
244,6
245,9
246,7
247,8
248,10
249,10
250,10
251,8
252,12
253,10
254,9
255,6
256,8
257,11
258,7
259,3
260,4
261,4
262,5
263,6
264,13
265,8
266,5
267,4
268,6
269,4
270,7
271,7
272,4
273,7
274,5
275,5
276,10
277,7
278,4
279,4
280,4
281,9
282,9
283,10
284,6
285,6
286,7
287,5
288,7
289,9
290,5
291,6
292,5
293,6
294,7
295,5
296,5
297,4
298,4
299,5
300,5
301,7
302,10
303,6
304,5
305,7
306,10
307,6
308,9
309,9
310,11
311,9
312,10
313,7
314,2
315,2
316,2
317,8
318,7
319,3
320,5
321,5
322,9
323,3
324,4
325,4
326,6
327,4
328,3
329,1
330,2
331,5
332,2
333,5
334,8
335,5
336,5
337,3
338,5
339,4
340,5
341,6
342,5
343,7
344,9
345,5
346,5
347,2
348,9
349,3
350,5
351,5
352,5
353,4
354,8
355,4
356,8
357,7
358,8
359,5
360,7
361,3
362,4
363,8
364,5
365,5
366,8
367,7
368,5
369,5
370,11
371,6
372,5
373,6
374,9
375,6
376,6
377,4
378,4
379,4
380,4
381,7
382,4
383,4
384,5
385,4
386,7
387,8
388,9
389,5
390,7
391,9
392,8
393,10
394,6
395,9
396,6
397,7
398,5
399,6
400,8
401,9
402,10
403,11
404,6
405,9
406,7
407,9
408,13
409,6
410,8
411,8
412,5
413,5
414,6
415,6
416,8
417,6
418,5
419,7
420,8
421,7
422,7
423,6
424,6
425,5
426,7
427,6
428,6
429,5
430,2
431,7
432,9
433,3
434,7
435,7
436,6
437,7
438,5
439,6
440,8
441,10
442,7
443,5
444,9
445,7
446,6
447,8
448,6
449,3
450,2
451,3
452,5
453,4
454,5
455,4
456,6
457,6
458,5
459,5
460,10
461,9
462,6
463,9
464,7
465,7
466,7
467,6
468,6
469,7
470,6
471,6
472,2
473,5
474,6
475,10
476,7
477,5
478,6
479,5
480,2
481,10
482,7
483,4
484,3
485,8
486,9
487,6
488,6
489,4
490,5
491,11
492,7
493,6
494,6
495,7
496,9
497,9
498,11
499,4
500,5
501,5
502,8
503,4
504,4
505,3
506,8
507,7
508,8
509,6
510,5
511,3
512,2
513,7
514,7
515,7
516,8
517,5
518,9
519,6
520,7
521,6
522,2
523,5
524,6
525,6
526,7
527,5
528,5
529,5
530,6
531,6
532,8
533,7
534,5
535,3
536,6
537,7
538,7
539,6
540,4
541,7
542,3
543,7
544,7
545,6
546,6
547,6
548,5
549,6
550,6
551,8
552,3
553,7
554,9
555,8
556,5
557,7
558,9
559,7
560,4
561,5
562,7
563,7
564,9
565,8
566,5
567,3
568,5
569,6
570,8
571,7
572,8
573,4
574,5
575,6
576,6
577,8
578,8
579,4
580,5
581,5
582,6
583,3
584,7
585,7
586,6
587,7
588,9
589,10
590,5
591,4
592,7
593,7
594,7
595,7
596,6
597,5
598,6
599,6
600,7
601,6
602,8
603,8
604,7
605,4
606,4
607,5
608,8
609,10
610,3
611,5
612,5
613,5
614,7
615,7
616,8
617,7
618,7
619,8
620,6
621,5
622,3
623,4
624,4
625,7
626,5
627,6
628,4
629,5
630,7
631,7
632,8
633,7
634,5
635,5
636,4
637,3
638,7
639,6
640,7
641,6
642,7
643,6
644,7
645,4
646,9
647,6
648,5
649,7
650,5
651,3
652,3
653,7
654,7
655,4
656,3
657,7
658,6
659,4
660,4
