objective_value,generation,evaluations
4707.415442140789,0,30
3129.81049283362,1,98
2056.67194874065,2,174
1210.3357814166907,3,257
696.8825938665594,4,331
673.5965515846914,5,394
586.0803756323222,6,485
586.0803756323222,7,542
475.52579983335636,8,625
475.52579983335636,9,673
352.41774081534174,10,759
331.6180446127555,11,803
330.08017512666186,12,873
330.8127605730341,13,954
297.40408063841505,14,1034
297.40408063841505,15,1080
285.7089490886898,16,1147
278.0406053303544,17,1219
242.8914705754072,18,1308
242.8914705754072,19,1365
242.0647565862885,20,1456
206.55988662533002,21,1523
190.48799461859062,22,1569
190.48799461859062,23,1624
159.92602651993346,24,1714
151.97511349084593,25,1763
136.9348173052255,26,1811
105.91017939967168,27,1878
76.93645213486909,28,1944
54.045079453934775,29,2040
35.704734513551315,30,2116
13.788342847643364,31,2191
10.687214243401883,32,2230
5.484091639051442,33,2280
5.115530548983366,34,2364
5.115530548983366,35,2431
5.115530548983366,36,2515
5.115530548983366,37,2595
5.115530548983366,38,2682
5.115530548983366,39,2755
5.06796849211337,40,2839
5.06796849211337,41,2921
5.06796849211337,42,3001
5.06796849211337,43,3089
5.06796849211337,44,3171
5.06796849211337,45,3245
5.06796849211337,46,3329
5.06796849211337,47,3422
5.06796849211337,48,3505
4.867180050539674,49,3589
4.867180050539674,50,3679
4.867180050539674,51,3772
4.867180050539674,52,3846
4.867180050539674,53,3928
4.867180050539674,54,4006
4.867180050539674,55,4085
4.867180050539674,56,4172
4.867180050539674,57,4259
4.867180050539674,58,4349
4.867180050539674,59,4426
4.867180050539674,60,4507
4.867180050539674,61,4572
4.867180050539674,62,4662
4.867180050539674,63,4730
4.776000391009562,64,4808
4.776000391009562,65,4890
4.776000391009562,66,4973
4.776000391009562,67,5052
4.776000391009562,68,5143
4.776000391009562,69,5211
4.642425044142838,70,5289
4.642425044142838,71,5380
4.642425044142838,72,5453
4.642425044142838,73,5535
4.642425044142838,74,5623
4.642425044142838,75,5715
4.642425044142838,76,5804
4.642425044142838,77,5875
4.642425044142838,78,5964
4.642425044142838,79,6056
4.642425044142838,80,6139
4.642425044142838,81,6219
4.642425044142838,82,6297
4.642425044142838,83,6370
4.642425044142838,84,6438
4.642425044142838,85,6529
4.642425044142838,86,6621
4.642425044142838,87,6698
4.642425044142838,88,6793
4.642425044142838,89,6868
4.482044517791746,90,6948
4.642425044142838,91,7015
4.642425044142838,92,7098
4.642425044142838,93,7187
4.642425044142838,94,7273
4.642425044142838,95,7354
4.642425044142838,96,7447
4.642425044142838,97,7528
4.642425044142838,98,7610
4.642425044142838,99,7699
4.642425044142838,100,7787
4.642425044142838,101,7871
4.642425044142838,102,7954
4.642425044142838,103,8025
4.618955007810678,104,8113
4.618955007810678,105,8198
4.618955007810678,106,8280
4.618955007810678,107,8366
4.618955007810678,108,8445
4.618955007810678,109,8541
4.618955007810678,110,8626
4.618955007810678,111,8695
4.618955007810678,112,8781
4.618955007810678,113,8876
4.618955007810678,114,8940
4.618955007810678,115,9023
4.618955007810678,116,9101
4.618955007810678,117,9180
4.618955007810678,118,9265
4.618955007810678,119,9360
4.618955007810678,120,9432
4.618955007810678,121,9512
4.618955007810678,122,9595
4.618955007810678,123,9669
4.618955007810678,124,9748
4.618955007810678,125,9826
4.618955007810678,126,9920
4.618955007810678,127,9992
4.618955007810678,128,10075
4.618955007810678,129,10167
4.618955007810678,130,10246
4.312531382056938,131,10340
4.312531382056938,132,10426
4.312531382056938,133,10492
4.312531382056938,134,10568
4.312531382056938,135,10647
4.312531382056938,136,10742
4.312531382056938,137,10837
4.312531382056938,138,10895
4.312531382056938,139,10963
4.312531382056938,140,11052
4.312531382056938,141,11135
4.312531382056938,142,11205
4.312531382056938,143,11282
4.312531382056938,144,11358
4.312531382056938,145,11438
4.312531382056938,146,11515
4.312531382056938,147,11591
4.312531382056938,148,11669
4.312531382056938,149,11751
4.312531382056938,150,11834
4.312531382056938,151,11916
4.312531382056938,152,12008
4.312531382056938,153,12089
4.312531382056938,154,12173
4.312531382056938,155,12256
4.312531382056938,156,12345
4.312531382056938,157,12424
4.312531382056938,158,12501
4.312531382056938,159,12583
4.312531382056938,160,12666
4.312531382056938,161,12756
4.312531382056938,162,12838
4.312531382056938,163,12917
4.312531382056938,164,12994
4.312531382056938,165,13088
4.312531382056938,166,13171
4.312531382056938,167,13270
4.312531382056938,168,13362
4.312531382056938,169,13433
4.312531382056938,170,13528
4.312531382056938,171,13607
4.312531382056938,172,13690
4.312531382056938,173,13773
4.312531382056938,174,13861
4.312531382056938,175,13945
4.312531382056938,176,14023
4.312531382056938,177,14104
4.312531382056938,178,14174
4.312531382056938,179,14252
4.312531382056938,180,14329
4.312531382056938,181,14414
4.312531382056938,182,14489
4.312531382056938,183,14582
4.312531382056938,184,14665
4.312531382056938,185,14745
4.312531382056938,186,14838
4.312531382056938,187,14923
4.312531382056938,188,15025
4.312531382056938,189,15097
4.312531382056938,190,15166
4.312531382056938,191,15252
4.312531382056938,192,15343
4.312531382056938,193,15439
4.312531382056938,194,15536
4.312531382056938,195,15628
4.312531382056938,196,15701
4.312531382056938,197,15799
4.312531382056938,198,15882
4.312531382056938,199,15969
4.312531382056938,200,16054
4.312531382056938,201,16143
4.312531382056938,202,16230
4.312531382056938,203,16314
4.312531382056938,204,16401
4.312531382056938,205,16481
4.312531382056938,206,16568
4.312531382056938,207,16663
4.312531382056938,208,16732
4.312531382056938,209,16821
