objective_value,generation,evaluations
6861.761146864478,0,30
6272.119724723645,1,83
5920.45333168385,2,139
5920.45333168385,3,195
5884.151224237477,4,249
5517.12154876324,5,316
5264.883112494954,6,380
5264.883112494954,7,466
5190.606245203161,8,534
5067.5301708458555,9,604
4971.045078205423,10,692
4838.869580183018,11,765
4838.869580183018,12,855
4838.869580183018,13,931
4838.869580183018,14,1012
4634.604497918586,15,1100
4354.540412715494,16,1178
4173.283646349071,17,1269
4173.283646349071,18,1342
4045.913822586641,19,1418
3971.804375973851,20,1514
3971.804375973851,21,1569
3971.804375973851,22,1637
3911.3724398899494,23,1706
3911.3724398899494,24,1773
3911.3724398899494,25,1864
3911.3724398899494,26,1946
3911.3724398899494,27,2027
3911.3724398899494,28,2118
3865.2975387634115,29,2199
3865.2975387634115,30,2267
3865.2975387634115,31,2350
3865.2975387634115,32,2431
3697.1131849402036,33,2510
3697.1131849402036,34,2541
3697.1131849402036,35,2627
3697.1131849402036,36,2714
3697.1131849402036,37,2787
3697.1131849402036,38,2861
3697.1131849402036,39,2942
3697.1131849402036,40,3027
3697.1131849402036,41,3103
3681.3768806546377,42,3185
3660.8169013919032,43,3268
3660.8169013919032,44,3348
3660.8169013919032,45,3431
3660.8169013919032,46,3515
3660.8169013919032,47,3605
3660.8169013919032,48,3684
3660.8169013919032,49,3776
3660.8169013919032,50,3847
3660.8169013919032,51,3919
3660.8169013919032,52,3994
3660.8169013919032,53,4076
3660.8169013919032,54,4160
3660.8169013919032,55,4247
3660.8169013919032,56,4327
3660.8169013919032,57,4395
3660.8169013919032,58,4471
3660.8169013919032,59,4545
3660.8169013919032,60,4634
3660.8169013919032,61,4712
3660.8169013919032,62,4800
3660.8169013919032,63,4869
3660.8169013919032,64,4960
3660.8169013919032,65,5046
3660.8169013919032,66,5125
3660.8169013919032,67,5208
3660.8169013919032,68,5296
3660.8169013919032,69,5381
3660.8169013919032,70,5461
3660.8169013919032,71,5533
3660.8169013919032,72,5607
3660.8169013919032,73,5687
3660.8169013919032,74,5765
3660.8169013919032,75,5848
3631.878858699889,76,5920
3631.878858699889,77,6001
3631.878858699889,78,6083
3631.878858699889,79,6156
3571.1640929028918,80,6237
3571.1640929028918,81,6308
3571.1640929028918,82,6389
3571.1640929028918,83,6467
3571.1640929028918,84,6544
3571.1640929028918,85,6607
3571.1640929028918,86,6675
3571.1640929028918,87,6754
3571.1640929028918,88,6828
3571.1640929028918,89,6887
3571.1640929028918,90,6974
3571.1640929028918,91,7067
3571.1640929028918,92,7152
3571.1640929028918,93,7231
3571.1640929028918,94,7304
3571.1640929028918,95,7388
3571.1640929028918,96,7465
3571.1640929028918,97,7554
3571.1640929028918,98,7640
3571.1640929028918,99,7713
3571.1640929028918,100,7781
3571.1640929028918,101,7862
3571.1640929028918,102,7942
3571.1640929028918,103,8028
3571.1640929028918,104,8106
3571.1640929028918,105,8179
3571.1640929028918,106,8275
3571.1640929028918,107,8355
3571.1640929028918,108,8436
3571.1640929028918,109,8511
3571.1640929028918,110,8590
3571.1640929028918,111,8663
3571.1640929028918,112,8734
3571.1640929028918,113,8791
3571.1640929028918,114,8883
3571.1640929028918,115,8959
3571.1640929028918,116,9037
3571.1640929028918,117,9116
3571.1640929028918,118,9197
3571.1640929028918,119,9281
3571.1640929028918,120,9360
3571.1640929028918,121,9435
3571.1640929028918,122,9522
3571.1640929028918,123,9612
3571.1640929028918,124,9693
3571.1640929028918,125,9767
3571.1640929028918,126,9845
3571.1640929028918,127,9939
3571.1640929028918,128,10033
3571.1640929028918,129,10115
3571.1640929028918,130,10206
3571.1640929028918,131,10282
3571.1640929028918,132,10375
3571.1640929028918,133,10445
3571.1640929028918,134,10527
3571.1640929028918,135,10591
3571.1640929028918,136,10677
3571.1640929028918,137,10753
3571.1640929028918,138,10831
3571.1640929028918,139,10910
3571.1640929028918,140,10994
3571.1640929028918,141,11062
3571.1640929028918,142,11139
