generation,unique_ids
0,30
1,19
2,14
3,9
4,11
5,12
6,11
7,13
8,9
9,10
10,10
11,12
12,9
13,9
14,12
15,10
16,10
17,11
18,15
19,13
20,14
21,12
22,10
23,9
24,15
25,12
26,13
27,9
28,10
29,10
30,15
31,13
32,15
33,14
34,11
35,10
36,10
37,11
38,10
39,11
40,7
41,9
42,8
43,8
44,10
45,5
46,5
47,6
48,6
49,7
50,10
51,12
52,10
53,7
54,8
55,7
56,9
57,6
58,9
59,5
60,6
61,7
62,8
63,5
64,10
65,10
66,10
67,11
68,9
69,10
70,7
71,8
72,6
73,8
74,9
75,10
76,6
77,9
78,8
79,7
80,7
81,5
82,5
83,9
84,7
85,10
86,6
87,8
88,8
89,7
90,7
91,8
92,9
93,9
94,6
95,6
96,9
97,7
98,9
99,8
100,5
101,4
102,5
103,4
104,8
105,7
106,4
107,8
108,7
109,3
110,3
111,6
112,6
113,4
114,6
115,5
116,6
117,2
118,2
119,3
120,2
121,6
122,6
123,3
124,5
125,6
126,8
127,6
128,7
129,10
130,12
131,13
132,10
133,10
134,7
135,7
136,9
137,8
138,6
139,4
140,5
141,6
142,5
143,4
144,7
145,6
146,8
147,11
148,10
149,10
150,9
151,6
152,4
153,5
154,9
155,7
156,9
157,9
158,10
159,7
160,3
161,2
162,5
163,4
164,6
165,6
166,7
167,4
168,5
169,7
170,7
171,5
172,4
173,4
174,7
175,7
176,5
177,6
178,6
179,6
180,5
181,7
182,4
183,4
184,4
185,5
186,6
187,6
188,5
189,8
190,7
191,5
192,4
193,4
194,7
195,7
196,7
197,8
198,9
199,4
200,3
201,5
202,3
203,3
204,2
205,4
206,5
207,5
208,8
209,5
210,6
211,5
212,7
213,3
214,4
215,4
216,4
217,5
218,10
219,4
220,9
221,2
222,5
223,7
224,3
225,5
226,7
227,6
228,7
229,4
230,3
231,5
232,7
233,7
234,4
235,2
236,4
237,8
238,7
239,6
240,4
241,6
242,5
243,8
244,10
245,7
246,6
247,3
248,5
249,8
250,6
251,6
252,6
253,6
254,6
255,4
256,7
257,4
258,5
259,5
260,8
261,4
262,5
263,6
264,6
265,3
266,6
267,5
268,4
269,4
270,4
271,7
272,7
273,7
274,7
275,4
276,3
277,5
278,5
279,5
280,6
281,7
282,5
283,5
284,5
285,5
286,3
287,5
288,6
289,6
290,3
291,7
292,7
293,7
294,4
295,4
296,4
297,7
298,5
299,5
300,4
301,5
302,3
303,5
304,7
305,6
306,4
307,3
308,4
309,4
310,4
311,7
312,7
313,7
314,6
315,5
316,4
317,6
318,4
319,5
320,5
321,6
322,6
323,8
324,6
325,5
326,8
327,10
328,8
329,9
330,9
331,7
332,7
333,7
334,7
335,7
336,7
337,9
338,5
339,4
340,5
341,7
342,4
343,3
344,1
345,1
346,1
347,3
348,4
349,7
350,7
351,5
352,6
353,3
354,5
355,6
356,7
357,10
358,7
359,5
360,5
361,5
362,3
363,6
364,4
365,4
366,5
367,7
368,6
369,7
370,8
371,4
372,5
373,8
374,6
375,7
376,5
377,9
378,6
379,4
380,5
381,6
382,6
383,7
384,12
385,8
386,5
387,9
388,6
389,8
390,7
391,3
392,5
393,4
394,5
395,9
396,10
397,4
398,7
399,7
400,5
401,10
402,5
403,8
404,6
405,11
406,6
407,8
408,4
409,5
410,4
411,8
412,9
413,7
414,6
415,4
416,4
417,7
418,11
419,8
420,5
421,4
422,5
423,6
424,6
425,5
426,2
427,6
428,4
429,5
430,7
431,3
432,4
433,5
434,4
435,4
436,4
437,5
438,8
439,4
440,5
441,7
442,4
443,6
444,6
445,6
446,6
447,7
448,6
449,6
450,7
451,6
452,7
453,6
454,3
455,4
456,5
457,4
458,3
459,6
460,8
461,6
462,6
463,5
464,3
465,5
466,7
467,10
468,4
469,6
470,4
471,9
472,8
473,5
474,3
475,5
476,4
477,4
478,7
479,3
480,4
481,8
482,6
483,8
484,5
485,4
486,3
487,6
488,5
489,5
490,4
491,5
492,3
493,6
494,5
495,6
496,8
497,9
498,7
499,4
500,8
501,8
502,6
503,9
504,7
505,3
506,8
507,7
508,7
509,8
510,6
511,5
512,11
513,9
514,7
515,3
516,8
517,6
518,7
519,9
520,4
521,8
522,5
523,5
524,3
525,6
526,4
527,7
528,7
529,5
530,6
531,5
532,6
533,7
534,5
535,5
536,5
537,6
538,4
539,7
540,9
541,1
542,1
543,3
544,3
545,4
546,7
547,2
548,4
549,5
550,4
551,8
552,7
553,9
554,9
555,9
556,5
557,8
558,5
559,4
560,2
561,5
562,4
563,6
564,3
565,3
566,4
567,8
568,8
569,4
570,3
571,4
572,5
573,4
574,5
575,5
576,9
577,4
578,6
579,5
580,8
581,8
582,9
583,5
584,4
585,4
586,5
587,6
588,6
589,8
590,5
591,6
592,6
593,9
594,5
595,4
596,6
597,5
598,10
599,4
600,5
601,5
602,6
603,5
604,3
605,4
606,6
607,8
608,6
609,4
610,5
611,7
612,7
613,5
614,7
615,6
616,9
617,7
618,6
619,7
620,5
621,6
622,4
623,7
624,10
625,6
626,7
