objective_value,generation,evaluations
-0.24839589725731062,0,30
-0.7840751547103983,1,112
-0.9028151972913645,2,194
-1.0160542636143135,3,251
-1.030176448635715,4,337
-1.030176448635715,5,425
-1.030176448635715,6,502
-1.0305230750822345,7,578
-1.030176448635715,8,646
-1.0310276643940932,9,712
-1.0310276643940932,10,789
-1.0312081188643465,11,881
-1.0312081188643465,12,961
-1.031253913514004,13,1028
-1.031253913514004,14,1108
-1.031253913514004,15,1187
-1.0315868846485734,16,1278
-1.0315868846485734,17,1371
-1.0315868846485734,18,1455
-1.0315868846485734,19,1533
-1.0315868846485734,20,1609
-1.0315868846485734,21,1702
-1.0315868846485734,22,1790
-1.0315868846485734,23,1878
-1.0315868846485734,24,1966
-1.0315868846485734,25,2049
-1.0315868846485734,26,2146
-1.031626610414421,27,2240
-1.031626610414421,28,2329
-1.031626610414421,29,2406
-1.031626610414421,30,2500
-1.031626610414421,31,2588
-1.031626610414421,32,2678
-1.031626610414421,33,2756
-1.031626610414421,34,2843
-1.031626610414421,35,2933
-1.031626610414421,36,3015
-1.031626610414421,37,3087
-1.031626610414421,38,3177
-1.031626610414421,39,3256
-1.031626610414421,40,3334
-1.031626610414421,41,3418
-1.031626610414421,42,3493
-1.031626610414421,43,3585
-1.031626610414421,44,3673
-1.031626610414421,45,3741
-1.031626610414421,46,3827
-1.031626610414421,47,3903
-1.031626610414421,48,3985
-1.031626610414421,49,4061
-1.031626610414421,50,4145
-1.031626610414421,51,4226
-1.031626610414421,52,4308
-1.031626610414421,53,4396
-1.031626610414421,54,4492
-1.031626610414421,55,4577
-1.031626610414421,56,4661
-1.031626610414421,57,4754
-1.031626610414421,58,4826
-1.031626610414421,59,4921
-1.031626610414421,60,5003
-1.031626610414421,61,5094
-1.031626610414421,62,5181
-1.031626610414421,63,5263
-1.031626610414421,64,5342
-1.031626610414421,65,5426
-1.031626610414421,66,5503
-1.031626610414421,67,5610
-1.031626610414421,68,5702
-1.031626610414421,69,5792
-1.031626610414421,70,5870
-1.031626610414421,71,5949
-1.031626610414421,72,6034
-1.031626610414421,73,6102
-1.031626610414421,74,6182
-1.031626610414421,75,6281
-1.031626610414421,76,6375
-1.031626610414421,77,6469
-1.031626610414421,78,6558
-1.031626610414421,79,6635
-1.031626610414421,80,6713
