objective_value,generation,evaluations
133071.87126732818,0,30
132157.47250860283,1,91
127628.62565254024,2,158
125496.01516214442,3,203
120692.18291049333,4,265
118716.77955969496,5,317
116353.081219933,6,397
112684.98389643178,7,456
112591.03968162209,8,495
110629.85809561127,9,570
109769.01886568703,10,633
101873.75151187094,11,703
98881.75838814853,12,743
97823.80418205335,13,824
95681.71495124913,14,888
92200.27758906216,15,938
90952.21658836817,16,970
88883.87970288447,17,1010
85392.46401238328,18,1071
81433.39716350005,19,1156
80813.27371892158,20,1211
78479.6948438293,21,1301
75933.82329997963,22,1361
74550.78909898107,23,1408
67314.42487308319,24,1472
64097.37803763098,25,1514
64097.37803763098,26,1560
63382.86837849573,27,1639
61060.72918153071,28,1694
60669.74877119799,29,1756
58212.179102665265,30,1817
54341.803418968055,31,1865
53543.34031586027,32,1922
48195.88913077481,33,2000
47208.69878745036,34,2050
44468.96349317404,35,2127
42533.2651620273,36,2211
41635.10333224651,37,2275
37925.56860986867,38,2333
37019.21639543667,39,2377
35381.141747295005,40,2435
33359.96691835534,41,2510
32157.0138818366,42,2560
31261.818587693237,43,2616
29963.908254170237,44,2671
29480.26617237919,45,2721
27454.881738713117,46,2796
26279.060260235456,47,2854
24943.387710006904,48,2950
24419.86494796004,49,3003
23935.195123547895,50,3074
22679.11407143783,51,3161
22074.515699565993,52,3220
21358.76256434616,53,3286
20760.707277285062,54,3378
20055.610456277664,55,3446
19028.624152733755,56,3547
18608.105710137617,57,3598
18608.105710137617,58,3643
17697.958749275196,59,3697
17026.33322165972,60,3764
16658.784374048842,61,3814
16658.784374048842,62,3872
15728.090862791081,63,3957
14684.594691444718,64,4006
13919.474755083664,65,4054
13513.561452149293,66,4135
13121.472981973615,67,4188
12041.794237783017,68,4262
11602.741070831698,69,4349
10536.931419632623,70,4438
9690.576419235302,71,4508
9378.906844886173,72,4569
8524.79979083376,73,4660
7387.26571385606,74,4696
6881.377219129002,75,4743
6700.489036722179,76,4806
6700.489036722179,77,4885
6058.368657669163,78,4970
5876.049073729734,79,5029
5677.3815731223385,80,5094
5677.3815731223385,81,5169
5320.578747076855,82,5253
4559.098922043961,83,5310
4559.098922043961,84,5344
4387.3094328372445,85,5401
4311.225333816967,86,5459
4095.253916742171,87,5515
4004.7055068640766,88,5585
4004.7055068640766,89,5664
4004.7055068640766,90,5714
3529.6698592469393,91,5776
3483.6821922538434,92,5814
3054.7494872402976,93,5865
3028.5353527899388,94,5956
3028.5353527899388,95,6024
2894.049943427784,96,6110
2894.049943427784,97,6170
2705.5088158400595,98,6208
2694.9578419265126,99,6249
2659.934472837323,100,6304
2632.1043934710838,101,6398
2535.730770951671,102,6473
2535.730770951671,103,6513
2440.2544494284984,104,6561
2440.2544494284984,105,6619
2253.839206919465,106,6701
2087.835985172396,107,6744
2087.835985172396,108,6847
2055.488771494717,109,6920
2055.488771494717,110,6987
1983.0687850624022,111,7064
1799.042210436913,112,7145
1694.3175258805475,113,7233
1649.0243256722704,114,7297
1649.0243256722704,115,7364
1649.0243256722704,116,7439
1564.6471057048032,117,7512
1478.6949641029498,118,7587
1375.685429836616,119,7672
1223.089682667579,120,7722
1223.089682667579,121,7780
946.755052323069,122,7839
946.755052323069,123,7899
825.6256554295569,124,7995
825.6256554295569,125,8051
825.6256554295569,126,8129
825.6256554295569,127,8192
752.5725902755223,128,8279
724.1004432190621,129,8343
724.1004432190621,130,8414
720.9564421938348,131,8484
720.9564421938348,132,8576
707.6444984866092,133,8667
707.6444984866092,134,8754
707.6444984866092,135,8829
702.3730220875589,136,8899
702.3730220875589,137,8971
702.190259140543,138,9053
702.190259140543,139,9121
669.3982535059278,140,9198
669.3982535059278,141,9284
702.190259140543,142,9362
638.442825575674,143,9444
638.442825575674,144,9495
638.442825575674,145,9577
638.442825575674,146,9647
638.442825575674,147,9727
638.442825575674,148,9799
638.442825575674,149,9873
638.442825575674,150,9956
599.1245961605308,151,10039
638.442825575674,152,10105
638.442825575674,153,10189
638.442825575674,154,10269
595.4168913010212,155,10356
595.4168913010212,156,10418
594.2169742152702,157,10515
594.2169742152702,158,10594
594.2169742152702,159,10669
594.2169742152702,160,10747
594.2169742152702,161,10817
594.2169742152702,162,10906
594.2169742152702,163,10994
491.03873841741984,164,11087
491.03873841741984,165,11134
491.03873841741984,166,11184
491.03873841741984,167,11244
491.03873841741984,168,11311
491.03873841741984,169,11382
491.03873841741984,170,11464
460.12787140234457,171,11538
460.12787140234457,172,11623
429.7441665322063,173,11714
429.7441665322063,174,11790
429.7441665322063,175,11871
429.7441665322063,176,11959
429.7441665322063,177,12035
411.1104125412257,178,12112
411.1104125412257,179,12188
411.1104125412257,180,12274
428.0153495789851,181,12354
351.532962328971,182,12446
351.532962328971,183,12523
351.532962328971,184,12617
351.532962328971,185,12683
351.532962328971,186,12763
351.532962328971,187,12823
351.532962328971,188,12888
351.532962328971,189,12971
351.532962328971,190,13046
351.532962328971,191,13115
351.532962328971,192,13198
351.532962328971,193,13280
351.532962328971,194,13355
323.88828798003146,195,13443
323.88828798003146,196,13523
323.88828798003146,197,13610
323.88828798003146,198,13685
323.88828798003146,199,13764
323.88828798003146,200,13844
323.88828798003146,201,13918
323.88828798003146,202,13998
323.88828798003146,203,14067
323.88828798003146,204,14150
323.88828798003146,205,14227
323.88828798003146,206,14307
323.88828798003146,207,14372
323.88828798003146,208,14449
323.88828798003146,209,14528
323.88828798003146,210,14615
323.88828798003146,211,14684
323.88828798003146,212,14756
323.88828798003146,213,14840
323.88828798003146,214,14920
323.88828798003146,215,15002
323.88828798003146,216,15085
323.88828798003146,217,15152
305.17887362921175,218,15225
305.17887362921175,219,15307
305.17887362921175,220,15373
305.17887362921175,221,15456
305.17887362921175,222,15543
305.17887362921175,223,15629
305.17887362921175,224,15711
305.17887362921175,225,15785
305.17887362921175,226,15871
305.17887362921175,227,15952
305.17887362921175,228,16042
305.17887362921175,229,16129
305.17887362921175,230,16198
305.17887362921175,231,16269
305.17887362921175,232,16354
305.17887362921175,233,16447
305.17887362921175,234,16522
305.17887362921175,235,16603
305.17887362921175,236,16675
305.17887362921175,237,16745
272.1397608455683,238,16818
272.1397608455683,239,16885
272.1397608455683,240,16972
272.1397608455683,241,17060
272.1397608455683,242,17132
272.1397608455683,243,17215
272.1397608455683,244,17286
272.1397608455683,245,17370
271.87231217548674,246,17457
271.87231217548674,247,17532
271.87231217548674,248,17600
271.87231217548674,249,17682
271.87231217548674,250,17773
271.87231217548674,251,17861
271.87231217548674,252,17943
271.87231217548674,253,18034
271.87231217548674,254,18112
271.87231217548674,255,18186
271.87231217548674,256,18280
238.55918959960167,257,18358
238.55918959960167,258,18437
238.55918959960167,259,18532
238.55918959960167,260,18620
238.55918959960167,261,18692
238.55918959960167,262,18785
238.55918959960167,263,18879
238.55918959960167,264,18964
238.55918959960167,265,19052
238.55918959960167,266,19136
238.55918959960167,267,19211
238.55918959960167,268,19278
238.55918959960167,269,19358
238.55918959960167,270,19448
238.55918959960167,271,19546
238.55918959960167,272,19619
238.55918959960167,273,19691
238.55918959960167,274,19779
238.55918959960167,275,19859
238.55918959960167,276,19951
238.55918959960167,277,20023
238.55918959960167,278,20092
238.55918959960167,279,20179
238.55918959960167,280,20261
238.55918959960167,281,20344
238.55918959960167,282,20431
238.55918959960167,283,20521
238.55918959960167,284,20601
238.55918959960167,285,20690
238.55918959960167,286,20783
238.55918959960167,287,20856
238.55918959960167,288,20937
238.55918959960167,289,21014
238.55918959960167,290,21086
238.55918959960167,291,21153
238.55918959960167,292,21236
238.55918959960167,293,21324
238.55918959960167,294,21382
238.55918959960167,295,21448
238.55918959960167,296,21510
238.55918959960167,297,21595
238.55918959960167,298,21686
238.55918959960167,299,21766
238.55918959960167,300,21843
238.55918959960167,301,21920
238.55918959960167,302,22000
238.55918959960167,303,22077
238.55918959960167,304,22164
238.55918959960167,305,22252
238.55918959960167,306,22348
200.21440495214202,307,22427
200.21440495214202,308,22501
200.21440495214202,309,22600
238.55918959960167,310,22682
238.55918959960167,311,22779
238.55918959960167,312,22854
238.55918959960167,313,22940
238.55918959960167,314,23022
238.55918959960167,315,23094
238.55918959960167,316,23164
238.55918959960167,317,23255
238.55918959960167,318,23333
238.55918959960167,319,23424
238.55918959960167,320,23505
238.55918959960167,321,23586
238.55918959960167,322,23661
221.2963155824241,323,23737
221.2963155824241,324,23808
221.2963155824241,325,23890
221.2963155824241,326,23982
221.2963155824241,327,24077
221.2963155824241,328,24163
221.2963155824241,329,24249
221.2963155824241,330,24319
221.2963155824241,331,24399
221.2963155824241,332,24481
221.2963155824241,333,24560
221.2963155824241,334,24641
221.2963155824241,335,24716
221.2963155824241,336,24793
221.2963155824241,337,24876
221.2963155824241,338,24968
221.2963155824241,339,25050
221.2963155824241,340,25126
221.2963155824241,341,25205
221.2963155824241,342,25279
221.2963155824241,343,25375
221.2963155824241,344,25449
221.2963155824241,345,25539
221.2963155824241,346,25614
221.2963155824241,347,25692
221.2963155824241,348,25765
221.2963155824241,349,25831
221.2963155824241,350,25909
221.2963155824241,351,25986
221.2963155824241,352,26063
221.2963155824241,353,26152
221.2963155824241,354,26241
221.2963155824241,355,26324
221.2963155824241,356,26397
221.2963155824241,357,26472
221.2963155824241,358,26553
208.13662781685343,359,26622
208.13662781685343,360,26703
208.13662781685343,361,26789
208.13662781685343,362,26866
208.13662781685343,363,26959
208.13662781685343,364,27038
208.13662781685343,365,27126
208.13662781685343,366,27198
208.13662781685343,367,27287
208.13662781685343,368,27369
208.13662781685343,369,27452
208.13662781685343,370,27545
208.13662781685343,371,27624
208.13662781685343,372,27719
208.13662781685343,373,27803
208.13662781685343,374,27867
208.13662781685343,375,27947
208.13662781685343,376,28019
208.13662781685343,377,28093
208.13662781685343,378,28186
208.13662781685343,379,28272
208.13662781685343,380,28357
208.13662781685343,381,28435
208.13662781685343,382,28519
208.13662781685343,383,28605
208.13662781685343,384,28686
208.13662781685343,385,28751
208.13662781685343,386,28825
208.13662781685343,387,28907
208.13662781685343,388,28988
208.13662781685343,389,29085
208.13662781685343,390,29163
208.13662781685343,391,29231
208.13662781685343,392,29318
208.13662781685343,393,29399
208.13662781685343,394,29487
208.13662781685343,395,29574
208.13662781685343,396,29654
208.13662781685343,397,29732
208.13662781685343,398,29820
208.13662781685343,399,29905
208.13662781685343,400,29990
208.13662781685343,401,30074
208.13662781685343,402,30142
208.13662781685343,403,30228
208.13662781685343,404,30306
208.13662781685343,405,30387
208.13662781685343,406,30470
208.13662781685343,407,30546
208.13662781685343,408,30620
208.13662781685343,409,30697
208.13662781685343,410,30772
208.13662781685343,411,30846
208.13662781685343,412,30931
208.13662781685343,413,31009
208.13662781685343,414,31089
208.13662781685343,415,31155
208.13662781685343,416,31242
208.13662781685343,417,31327
208.13662781685343,418,31414
208.13662781685343,419,31499
208.13662781685343,420,31569
208.13662781685343,421,31651
208.13662781685343,422,31726
208.13662781685343,423,31810
208.13662781685343,424,31881
208.13662781685343,425,31965
208.13662781685343,426,32056
208.13662781685343,427,32141
208.13662781685343,428,32224
208.13662781685343,429,32297
208.13662781685343,430,32381
208.13662781685343,431,32463
208.13662781685343,432,32545
208.13662781685343,433,32630
208.13662781685343,434,32720
208.13662781685343,435,32789
208.13662781685343,436,32876
208.13662781685343,437,32960
208.13662781685343,438,33048
208.13662781685343,439,33132
208.13662781685343,440,33213
208.13662781685343,441,33282
208.13662781685343,442,33379
208.13662781685343,443,33457
208.13662781685343,444,33535
208.13662781685343,445,33629
208.13662781685343,446,33710
208.13662781685343,447,33807
208.13662781685343,448,33890
208.13662781685343,449,33975
208.13662781685343,450,34055
208.13662781685343,451,34138
208.13662781685343,452,34193
208.13662781685343,453,34275
208.13662781685343,454,34351
208.13662781685343,455,34440
208.13662781685343,456,34531
208.13662781685343,457,34614
208.13662781685343,458,34694
208.13662781685343,459,34782
208.13662781685343,460,34851
208.13662781685343,461,34923
208.13662781685343,462,35011
208.13662781685343,463,35100
208.13662781685343,464,35186
208.13662781685343,465,35264
208.13662781685343,466,35341
208.13662781685343,467,35431
208.13662781685343,468,35502
208.13662781685343,469,35576
208.13662781685343,470,35653
208.13662781685343,471,35728
208.13662781685343,472,35798
208.13662781685343,473,35868
208.13662781685343,474,35946
208.13662781685343,475,36035
208.13662781685343,476,36120
208.13662781685343,477,36202
208.13662781685343,478,36249
208.13662781685343,479,36335
208.13662781685343,480,36430
208.13662781685343,481,36509
208.13662781685343,482,36593
208.13662781685343,483,36665
208.13662781685343,484,36732
208.13662781685343,485,36821
208.13662781685343,486,36901
208.13662781685343,487,36972
208.13662781685343,488,37051
208.13662781685343,489,37127
208.13662781685343,490,37203
208.13662781685343,491,37278
