generation,unique_ids
0,30
1,18
2,22
3,20
4,17
5,8
6,19
7,14
8,14
9,16
10,16
11,13
12,13
13,18
14,13
15,13
16,10
17,8
18,9
19,8
20,10
21,6
22,5
23,7
24,4
25,5
26,4
27,5
28,6
29,7
30,5
31,4
32,10
33,9
34,6
35,4
36,4
37,6
38,8
39,9
40,7
41,7
42,6
43,7
44,5
45,4
46,7
47,6
48,8
49,6
50,3
51,8
52,3
53,7
54,9
55,5
56,5
57,4
58,8
59,8
60,5
61,8
62,8
63,7
64,11
65,6
66,8
67,6
68,7
69,6
70,7
71,5
72,3
73,4
74,7
75,10
76,6
77,9
78,7
79,6
80,5
81,7
82,9
83,9
84,5
85,7
86,7
87,5
88,5
89,5
90,5
91,7
92,5
93,8
94,5
95,5
96,2
97,4
98,3
99,8
100,10
101,3
102,2
103,5
104,6
105,4
106,4
107,4
108,3
109,4
110,4
111,7
112,7
113,11
114,7
115,5
116,6
117,7
118,6
119,3
120,4
121,2
122,3
123,4
124,3
125,6
126,4
127,4
128,6
129,9
130,5
131,5
132,4
133,4
134,4
135,3
136,5
137,5
138,3
139,6
140,3
141,5
142,2
143,9
144,8
145,5
146,3
147,1
148,2
149,4
150,5
151,9
152,7
153,6
154,4
155,7
156,7
157,8
158,8
159,7
160,9
161,5
162,7
163,5
164,5
165,4
166,3
167,1
168,4
169,3
170,7
171,7
172,8
173,6
174,6
175,7
176,9
177,7
178,3
179,3
180,5
181,6
182,5
183,9
184,8
185,5
186,7
187,7
188,8
189,5
190,8
191,6
192,4
193,4
194,5
195,4
196,8
197,6
198,4
199,3
200,3
201,5
202,3
203,6
204,7
205,7
206,3
207,5
208,5
209,3
210,2
211,8
212,6
213,9
214,7
215,6
216,6
217,7
218,7
219,6
220,5
221,6
222,7
223,6
224,7
225,9
226,7
227,5
228,7
229,7
230,4
231,6
232,4
233,8
234,9
235,3
236,5
237,7
238,6
239,6
240,6
241,6
242,6
243,6
244,4
245,9
246,4
247,5
248,6
249,6
250,5
251,7
252,8
253,9
254,9
255,6
256,3
257,3
258,4
259,5
260,6
261,4
262,7
263,4
264,4
265,3
266,1
267,4
268,4
269,3
270,5
271,8
272,6
273,5
274,4
275,5
276,5
277,5
278,6
279,3
280,7
281,8
282,5
283,4
284,6
285,6
286,5
287,5
288,3
289,5
290,5
291,5
292,6
293,9
294,7
295,6
296,5
297,4
298,4
299,5
300,7
301,5
302,5
303,3
304,3
305,1
306,4
307,6
308,4
309,5
310,2
311,5
312,7
313,5
314,3
315,3
316,4
317,6
318,5
319,7
320,9
321,8
322,7
323,4
324,5
325,9
326,6
327,7
328,4
329,4
330,4
331,4
332,7
333,6
334,4
335,7
336,7
337,9
338,8
339,7
340,2
341,4
342,5
343,7
344,4
345,4
346,7
347,4
348,5
349,4
350,9
351,8
352,4
353,2
354,4
355,3
356,5
357,4
358,7
359,4
360,11
361,4
362,6
363,10
364,5
365,5
366,7
367,5
368,11
369,7
370,4
371,6
372,3
373,3
374,4
375,4
376,9
377,8
378,6
379,5
380,5
381,5
382,7
383,5
384,3
385,8
386,7
387,5
388,5
389,9
390,5
391,7
392,6
393,6
394,6
395,8
396,6
397,4
398,4
399,6
400,5
401,6
402,6
403,8
404,7
405,9
406,5
407,8
408,3
409,5
410,4
411,8
412,7
413,7
414,7
415,8
416,9
417,8
418,8
419,8
420,9
421,6
422,1
423,3
424,5
425,6
426,7
427,8
428,7
429,5
430,7
431,6
432,5
433,6
434,5
435,7
436,5
437,9
438,8
439,7
440,7
441,5
442,5
443,2
444,4
445,2
446,2
447,3
448,6
449,4
450,5
451,6
452,10
453,4
454,4
455,5
456,4
457,5
458,6
459,5
460,8
461,8
462,5
463,5
464,6
465,8
466,7
467,7
468,7
469,7
470,5
471,7
472,10
473,6
474,3
475,5
476,4
477,3
478,7
479,4
480,7
481,6
482,6
483,10
484,7
485,5
486,8
487,6
488,2
489,4
490,8
491,5
492,7
493,5
494,3
495,6
496,5
497,4
498,2
499,2
500,4
501,4
502,4
503,7
504,9
505,7
506,7
507,8
508,6
509,2
510,6
511,7
512,3
513,1
514,3
515,3
516,4
517,3
518,5
519,6
520,5
521,3
522,6
523,4
524,3
525,4
526,6
527,6
528,4
529,7
530,8
531,5
532,5
533,7
534,4
535,8
536,5
537,6
538,7
539,7
540,6
541,6
542,8
543,9
544,5
545,3
546,5
547,6
548,4
549,3
550,4
551,8
552,5
553,4
554,4
555,3
556,5
557,5
558,7
559,7
560,4
561,2
562,6
563,5
564,5
565,6
566,4
567,4
568,2
569,3
570,3
571,5
572,6
573,8
574,8
575,10
576,3
577,4
578,5
579,9
580,8
581,7
582,6
583,6
584,5
585,8
586,7
587,6
588,2
589,6
590,6
591,7
592,6
593,5
594,9
595,9
596,7
597,5
598,5
599,8
600,6
601,6
602,9
603,6
604,5
605,7
606,7
607,8
608,4
609,8
610,5
611,3
612,5
613,7
614,8
615,6
616,6
617,5
618,5
