objective_value,generation,evaluations
178261.36502213124,0,30
178261.36502213124,1,75
63872.92453857594,2,153
61744.02625100238,3,224
60471.04390368761,4,307
58567.03044133975,5,383
58567.03044133975,6,433
57004.446901487914,7,519
57004.446901487914,8,595
54877.43965779436,9,678
54788.77097233156,10,769
54788.77097233156,11,832
54086.14791648257,12,910
54086.14791648257,13,993
53971.45406110588,14,1080
51417.55623313862,15,1165
51417.55623313862,16,1197
51417.55623313862,17,1233
51417.55623313862,18,1285
50938.767323785425,19,1374
49576.93400487157,20,1464
47997.33004035573,21,1532
47997.33004035573,22,1615
47227.67269179996,23,1685
47227.67269179996,24,1779
44568.51410058202,25,1861
44568.51410058202,26,1943
44568.51410058202,27,2029
43231.22123758689,28,2124
42584.64542672303,29,2207
40838.350126461504,30,2286
40838.350126461504,31,2336
40838.350126461504,32,2430
40838.350126461504,33,2510
40838.350126461504,34,2601
39216.65769888347,35,2684
39216.65769888347,36,2756
35333.79368810731,37,2835
35333.79368810731,38,2909
35333.79368810731,39,2998
35333.79368810731,40,3086
35234.328738808814,41,3167
32830.68938753678,42,3248
28656.567412942673,43,3338
27542.197656937777,44,3380
27542.197656937777,45,3430
26221.833211625813,46,3519
25008.432045142563,47,3605
24547.297481837526,48,3679
23045.11875257198,49,3766
23045.11875257198,50,3842
22797.273827617068,51,3924
22396.917492456385,52,4016
21850.170321210848,53,4112
21850.170321210848,54,4206
21850.170321210848,55,4282
21296.48397315535,56,4383
21662.298573234235,57,4461
21182.796957648632,58,4545
21182.796957648632,59,4628
20564.20819674752,60,4695
19945.088415660324,61,4780
18866.870943502814,62,4878
18866.870943502814,63,4957
18866.870943502814,64,5031
18866.870943502814,65,5115
17917.939006538953,66,5201
17917.939006538953,67,5287
17571.60795777689,68,5369
17571.60795777689,69,5466
17291.5811591947,70,5544
17291.5811591947,71,5620
16869.64140748292,72,5690
16869.64140748292,73,5776
16285.777992272744,74,5859
16285.777992272744,75,5946
16086.899966010396,76,6032
15840.58642070199,77,6123
14206.380957079815,78,6196
14206.380957079815,79,6290
14061.122133842942,80,6359
14061.122133842942,81,6434
13536.703394975648,82,6514
13536.703394975648,83,6591
13536.703394975648,84,6685
12485.251090776166,85,6771
11650.88999946133,86,6856
11239.281310721679,87,6925
11239.281310721679,88,7019
11239.281310721679,89,7107
11203.036581988983,90,7194
11239.281310721679,91,7274
11239.281310721679,92,7361
10066.695057683959,93,7442
10066.695057683959,94,7502
10066.695057683959,95,7591
10066.695057683959,96,7675
10066.695057683959,97,7756
10066.695057683959,98,7831
9868.183293397999,99,7901
9868.183293397999,100,7988
9765.268371401813,101,8071
9631.93612041827,102,8150
9631.93612041827,103,8239
9631.93612041827,104,8318
8702.558543921383,105,8393
8476.280641017554,106,8458
8476.280641017554,107,8544
8476.280641017554,108,8631
8476.280641017554,109,8725
8476.280641017554,110,8815
8113.4980666495685,111,8893
8065.534213948563,112,8975
8065.534213948563,113,9051
8065.534213948563,114,9137
8065.534213948563,115,9221
7997.905562002861,116,9312
7525.296017622242,117,9383
7525.296017622242,118,9458
7284.938445187005,119,9548
6958.095990875922,120,9633
6958.095990875922,121,9710
6958.095990875922,122,9790
6958.095990875922,123,9884
6870.312799597419,124,9967
6870.312799597419,125,10056
6686.939295930014,126,10149
6665.265173763937,127,10245
6665.265173763937,128,10327
5839.645924287971,129,10411
5839.645924287971,130,10497
5839.645924287971,131,10580
5839.645924287971,132,10670
5839.645924287971,133,10766
5839.645924287971,134,10846
5699.262775499736,135,10938
5322.223156810306,136,11032
5322.223156810306,137,11116
5023.692403109615,138,11206
5023.692403109615,139,11300
5023.692403109615,140,11393
4505.017141137502,141,11483
4505.017141137502,142,11560
4505.017141137502,143,11645
4505.017141137502,144,11728
4505.017141137502,145,11805
4505.017141137502,146,11905
4292.246108989738,147,11998
4292.246108989738,148,12074
4292.246108989738,149,12171
3799.051201541515,150,12242
3799.051201541515,151,12318
3799.051201541515,152,12389
3799.051201541515,153,12476
3799.051201541515,154,12551
3744.5629367070933,155,12646
3739.6468483036497,156,12735
3538.7769099496977,157,12816
3538.7769099496977,158,12909
3538.7769099496977,159,12987
3538.7769099496977,160,13067
3537.3547687446803,161,13155
3537.3547687446803,162,13238
3537.3547687446803,163,13323
3537.3547687446803,164,13410
3537.3547687446803,165,13493
3276.659755262529,166,13575
3257.912963549715,167,13661
3069.4084466275885,168,13757
3039.170291177881,169,13848
3039.170291177881,170,13933
3039.170291177881,171,14031
3003.034922933251,172,14117
2896.7198712979816,173,14198
2896.7198712979816,174,14286
2622.075908237679,175,14382
2622.075908237679,176,14444
2622.075908237679,177,14514
2498.9325551217985,178,14597
2498.9325551217985,179,14678
2498.9325551217985,180,14767
2498.9325551217985,181,14849
2498.9325551217985,182,14925
2498.9325551217985,183,14985
2393.161004024618,184,15067
2196.0745861395735,185,15109
1822.9067048099187,186,15146
1822.9067048099187,187,15180
1607.8362246628785,188,15230
1607.8362246628785,189,15321
1607.8362246628785,190,15388
1607.8362246628785,191,15480
1607.8362246628785,192,15578
1607.8362246628785,193,15654
1607.8362246628785,194,15747
1607.8362246628785,195,15835
1607.8362246628785,196,15921
1571.9699834837504,197,16000
1571.9699834837504,198,16070
1571.9699834837504,199,16159
1433.1151012941239,200,16240
1433.1151012941239,201,16325
1263.774819688464,202,16398
1263.774819688464,203,16473
1110.3167343483324,204,16541
1110.3167343483324,205,16619
1110.3167343483324,206,16711
1110.3167343483324,207,16789
1110.3167343483324,208,16870
1110.3167343483324,209,16960
1110.3167343483324,210,17039
1110.3167343483324,211,17117
1110.3167343483324,212,17207
1110.3167343483324,213,17291
1050.8633229220388,214,17390
1050.8633229220388,215,17483
1035.6595150618082,216,17569
1035.6595150618082,217,17652
1035.6595150618082,218,17727
1035.6595150618082,219,17811
869.6721029470112,220,17895
876.2218300541181,221,17979
876.2218300541181,222,18048
876.2218300541181,223,18139
876.2218300541181,224,18234
876.2218300541181,225,18305
876.2218300541181,226,18377
876.2218300541181,227,18457
787.1584246891266,228,18545
787.1584246891266,229,18634
787.1584246891266,230,18719
787.1584246891266,231,18803
787.1584246891266,232,18882
767.261238154677,233,18978
665.9226724940098,234,19066
665.9226724940098,235,19151
665.9226724940098,236,19223
665.9226724940098,237,19318
665.9226724940098,238,19394
665.9226724940098,239,19478
665.9226724940098,240,19570
665.9226724940098,241,19653
665.9226724940098,242,19754
665.9226724940098,243,19838
590.3871157867239,244,19930
590.3871157867239,245,20028
590.3871157867239,246,20121
544.7156715125824,247,20206
462.55485948889844,248,20295
462.55485948889844,249,20381
462.55485948889844,250,20474
462.55485948889844,251,20554
462.55485948889844,252,20635
462.55485948889844,253,20719
462.55485948889844,254,20805
462.55485948889844,255,20884
462.55485948889844,256,20962
462.55485948889844,257,21035
374.37070360994085,258,21124
374.37070360994085,259,21196
374.37070360994085,260,21239
286.0906332283513,261,21333
286.0906332283513,262,21403
272.40949541488436,263,21488
272.40949541488436,264,21573
272.40949541488436,265,21660
286.0906332283513,266,21758
286.0906332283513,267,21854
275.1542462738021,268,21941
275.1542462738021,269,22021
275.1542462738021,270,22100
275.1542462738021,271,22174
275.1542462738021,272,22260
275.1542462738021,273,22343
275.1542462738021,274,22424
275.1542462738021,275,22518
275.1542462738021,276,22607
275.1542462738021,277,22678
275.1542462738021,278,22763
275.1542462738021,279,22850
275.1542462738021,280,22933
231.1752769520249,281,23004
231.1752769520249,282,23083
231.1752769520249,283,23168
231.1752769520249,284,23246
231.1752769520249,285,23327
231.1752769520249,286,23408
231.1752769520249,287,23497
231.1752769520249,288,23588
231.1752769520249,289,23681
231.1752769520249,290,23776
231.1752769520249,291,23865
231.1752769520249,292,23953
231.1752769520249,293,24029
231.1752769520249,294,24107
231.1752769520249,295,24188
231.1752769520249,296,24267
231.1752769520249,297,24373
231.1752769520249,298,24462
231.1752769520249,299,24550
231.1752769520249,300,24625
231.1752769520249,301,24713
231.1752769520249,302,24791
231.1752769520249,303,24879
231.1752769520249,304,24963
231.1752769520249,305,25043
231.1752769520249,306,25136
231.1752769520249,307,25221
231.1752769520249,308,25307
231.1752769520249,309,25394
231.1752769520249,310,25485
231.1752769520249,311,25567
231.1752769520249,312,25650
231.1752769520249,313,25740
231.1752769520249,314,25829
231.1752769520249,315,25904
231.1752769520249,316,25982
231.1752769520249,317,26061
231.1752769520249,318,26142
231.1752769520249,319,26227
231.1752769520249,320,26308
231.1752769520249,321,26389
231.1752769520249,322,26471
231.1752769520249,323,26559
231.1752769520249,324,26637
231.1752769520249,325,26718
231.1752769520249,326,26811
231.1752769520249,327,26900
231.1752769520249,328,26985
231.1752769520249,329,27060
231.1752769520249,330,27150
231.1752769520249,331,27239
231.1752769520249,332,27330
231.1752769520249,333,27425
231.1752769520249,334,27507
231.1752769520249,335,27594
231.1752769520249,336,27681
231.1752769520249,337,27762
231.1752769520249,338,27851
231.1752769520249,339,27927
231.1752769520249,340,28023
231.1752769520249,341,28110
231.1752769520249,342,28197
231.1752769520249,343,28277
231.1752769520249,344,28355
231.1752769520249,345,28440
231.1752769520249,346,28527
231.1752769520249,347,28609
231.1752769520249,348,28690
231.1752769520249,349,28782
231.1752769520249,350,28869
231.1752769520249,351,28939
231.1752769520249,352,29029
231.1752769520249,353,29125
231.1752769520249,354,29209
225.7580054615209,355,29295
225.7580054615209,356,29380
225.7580054615209,357,29482
225.7580054615209,358,29552
225.7580054615209,359,29637
225.7580054615209,360,29717
185.97664960068872,361,29800
185.97664960068872,362,29893
185.97664960068872,363,29977
