generation,unique_ids
0,30
1,16
2,16
3,15
4,10
5,14
6,8
7,12
8,12
9,8
10,9
11,6
12,8
13,10
14,12
15,7
16,5
17,8
18,9
19,5
20,9
21,9
22,12
23,13
24,10
25,9
26,4
27,11
28,9
29,8
30,11
31,9
32,9
33,8
34,5
35,3
36,6
37,2
38,5
39,5
40,4
41,7
42,11
43,11
44,5
45,6
46,13
47,8
48,9
49,10
50,8
51,10
52,8
53,8
54,8
55,6
56,9
57,6
58,7
59,7
60,8
61,3
62,5
63,7
64,7
65,5
66,10
67,10
68,8
69,4
70,5
71,6
72,3
73,6
74,4
75,3
76,6
77,7
78,8
79,8
80,8
81,3
82,3
83,3
84,2
85,3
86,3
87,4
88,5
89,6
90,6
91,4
92,7
93,8
94,8
95,3
96,5
97,5
98,5
99,4
100,6
101,5
102,7
103,6
104,7
105,8
106,4
107,2
108,7
109,3
110,5
111,5
112,8
113,4
114,5
115,9
116,7
117,10
118,7
119,5
120,5
121,3
122,5
123,5
124,4
125,4
126,5
127,5
128,3
129,3
130,6
131,5
132,7
133,3
134,5
135,3
136,4
137,10
138,9
139,7
140,6
141,2
142,8
143,4
144,5
145,7
146,4
147,8
148,11
149,6
150,5
151,7
152,10
153,9
154,5
155,6
156,5
157,6
158,2
159,4
160,4
161,5
162,5
163,3
164,1
165,3
166,5
167,4
168,7
169,7
170,6
171,6
172,6
173,6
174,9
175,8
176,6
177,3
178,5
179,4
180,8
181,9
182,7
183,5
184,4
185,6
186,6
187,8
188,6
189,10
190,9
191,12
192,9
193,11
194,8
195,7
196,11
197,10
198,9
199,9
200,7
201,9
202,4
203,6
204,6
205,5
206,5
207,6
208,3
209,6
210,4
211,9
212,9
213,13
214,9
215,6
216,10
217,10
218,10
219,6
220,6
221,6
222,9
223,6
224,5
225,3
226,4
227,6
228,7
229,6
230,8
231,3
232,4
233,6
234,8
235,6
236,6
237,8
238,8
239,5
240,7
241,7
242,10
243,10
244,9
245,8
246,8
247,10
248,6
249,7
250,9
251,5
252,3
253,7
254,6
255,7
256,4
257,2
258,8
259,8
260,8
261,5
262,4
263,5
264,6
265,7
266,8
267,7
268,6
269,4
270,5
271,6
272,5
273,9
274,6
275,3
276,5
277,5
278,4
279,6
280,6
281,8
282,11
283,8
284,7
285,9
286,11
287,11
288,8
289,3
290,4
291,5
292,7
293,9
294,8
295,5
296,9
297,6
298,6
299,5
300,5
301,4
302,7
303,12
304,13
305,11
306,11
307,10
308,11
309,11
310,10
311,11
312,9
313,10
314,8
315,8
316,5
317,5
318,6
319,9
320,6
321,7
322,8
323,8
324,6
325,8
326,5
327,7
328,8
329,8
330,9
331,6
332,4
333,6
334,4
335,6
336,7
337,7
338,7
339,4
340,7
341,8
342,9
343,4
344,5
345,6
346,2
347,3
348,4
349,4
350,4
351,3
352,6
353,5
354,5
355,7
356,6
357,7
358,9
359,7
360,10
361,10
362,5
363,6
364,6
365,5
366,4
367,5
368,5
369,5
370,4
371,8
372,5
373,5
374,3
375,6
376,5
377,9
378,7
379,6
380,7
381,5
382,8
383,8
384,6
385,7
386,5
387,7
388,8
389,9
390,7
391,6
392,5
393,9
394,10
395,9
396,5
397,7
398,3
399,7
400,5
401,6
402,7
403,6
404,5
405,7
406,3
407,6
408,6
409,6
410,6
411,2
412,2
413,5
414,7
415,7
416,6
417,8
418,10
419,11
420,5
421,6
422,8
423,6
424,8
425,8
426,5
427,5
428,4
429,5
430,4
431,5
432,8
433,9
434,5
435,7
436,9
437,6
438,10
439,8
440,8
441,7
442,8
443,9
444,9
445,10
446,5
447,5
448,4
449,10
450,10
451,10
452,11
453,9
454,6
455,4
456,5
457,7
458,5
459,7
460,7
461,7
462,4
463,4
464,4
465,7
466,4
467,7
468,4
469,8
470,5
471,5
472,7
473,9
474,9
475,4
476,5
477,5
478,4
479,1
480,3
481,4
482,7
483,8
484,10
485,7
486,5
487,4
488,6
489,3
490,4
491,6
492,6
493,6
494,4
495,5
496,7
497,8
498,5
499,4
500,3
501,7
502,8
503,8
504,7
505,9
506,7
507,6
508,8
509,5
510,6
511,3
512,8
513,7
514,8
515,8
516,11
517,9
518,7
519,6
520,7
521,5
522,5
523,6
524,5
525,5
526,5
527,5
528,6
529,6
530,7
531,7
532,4
533,5
534,3
535,4
536,5
537,5
538,5
539,2
540,3
541,5
542,5
543,6
544,9
545,7
546,7
547,5
548,4
549,3
550,7
551,6
552,6
553,8
554,6
555,7
556,6
557,6
558,4
559,4
560,4
561,3
562,6
563,3
564,6
565,5
566,4
567,7
568,7
569,7
570,6
571,7
572,1
573,1
574,4
575,6
576,4
577,5
578,6
579,6
580,5
581,7
582,2
583,5
584,4
585,3
586,5
587,9
588,5
589,5
590,4
